round,date,home_team,home_score,away_score,away_team
1,2017-05-13,Flamengo,1,1,Atl. Mineiro
1,2017-05-13,Corinthians,1,1,Chapecoense
1,2017-05-14,Fluminense,3,2,Santos
1,2017-05-14,Avaí,0,0,Vitória
1,2017-05-14,Bahia,6,2,Athletico-PR
1,2017-05-14,Cruzeiro EC,1,0,São Paulo
1,2017-05-14,Palmeiras,4,0,Vasco
1,2017-05-14,Ponte Preta,4,0,Sport Recife
1,2017-05-14,Grêmio,2,0,Botafogo
1,2017-05-15,Coritiba,4,1,Atlético GO
2,2017-05-20,Santos,1,0,Coritiba
2,2017-05-20,Atlético GO,0,3,Flamengo
2,2017-05-20,Chapecoense,1,0,Palmeiras
2,2017-05-21,Vasco,2,1,Bahia
2,2017-05-21,Atl. Mineiro,1,2,Fluminense
2,2017-05-21,Athletico-PR,0,2,Grêmio
2,2017-05-21,Vitória,0,1,Corinthians
2,2017-05-21,Botafogo,2,0,Ponte Preta
2,2017-05-21,Sport Recife,1,1,Cruzeiro EC
2,2017-05-22,São Paulo,2,0,Avaí
3,2017-05-27,Vasco,3,2,Fluminense
3,2017-05-27,São Paulo,2,0,Palmeiras
3,2017-05-27,Vitória,0,1,Coritiba
3,2017-05-28,Atl. Mineiro,2,2,Ponte Preta
3,2017-05-28,Atlético GO,0,1,Corinthians
3,2017-05-28,Athletico-PR,1,1,Flamengo
3,2017-05-28,Santos,0,1,Cruzeiro EC
3,2017-05-28,Sport Recife,4,3,Grêmio
3,2017-05-28,Botafogo,1,0,Bahia
3,2017-05-29,Chapecoense,2,0,Avaí
4,2017-06-03,Coritiba,1,0,Athletico-PR
4,2017-06-03,Fluminense,2,1,Vitória
4,2017-06-03,Corinthians,2,0,Santos
4,2017-06-04,Avaí,1,0,Sport Recife
4,2017-06-04,Flamengo,0,0,Botafogo
4,2017-06-04,Grêmio,2,0,Vasco
4,2017-06-04,Palmeiras,0,0,Atl. Mineiro
4,2017-06-04,Ponte Preta,1,0,São Paulo
4,2017-06-04,Cruzeiro EC,0,2,Chapecoense
4,2017-06-05,Bahia,3,0,Atlético GO
5,2017-06-06,Fluminense,1,1,Athletico-PR
5,2017-06-07,Atl. Mineiro,1,0,Avaí
5,2017-06-07,Coritiba,1,0,Palmeiras
5,2017-06-07,Santos,1,0,Botafogo
5,2017-06-07,Sport Recife,2,0,Flamengo
5,2017-06-07,Vasco,2,5,Corinthians
5,2017-06-08,Atlético GO,3,0,Ponte Preta
5,2017-06-08,São Paulo,2,0,Vitória
5,2017-06-08,Chapecoense,3,6,Grêmio
5,2017-06-08,Bahia,1,0,Cruzeiro EC
6,2017-06-10,Palmeiras,3,1,Fluminense
6,2017-06-10,Vasco,2,1,Sport Recife
6,2017-06-11,Botafogo,2,2,Coritiba
6,2017-06-11,Avaí,1,1,Flamengo
6,2017-06-11,Corinthians,3,2,São Paulo
6,2017-06-11,Ponte Preta,3,2,Chapecoense
6,2017-06-11,Vitória,2,0,Atl. Mineiro
6,2017-06-11,Cruzeiro EC,2,0,Atlético GO
6,2017-06-11,Athletico-PR,0,2,Santos
6,2017-06-12,Grêmio,1,0,Bahia
7,2017-06-14,Atlético GO,3,1,Avaí
7,2017-06-14,Atl. Mineiro,0,1,Athletico-PR
7,2017-06-14,Sport Recife,0,0,São Paulo
7,2017-06-14,Vitória,2,2,Botafogo
7,2017-06-14,Flamengo,2,0,Ponte Preta
7,2017-06-14,Chapecoense,2,1,Vasco
7,2017-06-14,Corinthians,1,0,Cruzeiro EC
7,2017-06-14,Santos,1,0,Palmeiras
7,2017-06-15,Coritiba,0,0,Bahia
7,2017-06-15,Fluminense,0,2,Grêmio
8,2017-06-17,Atlético GO,0,1,Athletico-PR
8,2017-06-17,Vasco,1,0,Avaí
8,2017-06-17,Santos,0,0,Ponte Preta
8,2017-06-18,Coritiba,0,0,Corinthians
8,2017-06-18,Bahia,2,4,Palmeiras
8,2017-06-18,Chapecoense,0,2,Botafogo
8,2017-06-18,Fluminense,2,2,Flamengo
8,2017-06-18,São Paulo,1,2,Atl. Mineiro
8,2017-06-18,Sport Recife,1,3,Vitória
8,2017-06-19,Cruzeiro EC,3,3,Grêmio
9,2017-06-21,Vitória,0,2,Santos
9,2017-06-21,Botafogo,3,1,Vasco
9,2017-06-21,Palmeiras,1,0,Atlético GO
9,2017-06-21,Atl. Mineiro,2,2,Sport Recife
9,2017-06-21,Avaí,0,3,Fluminense
9,2017-06-21,Athletico-PR,1,0,São Paulo
9,2017-06-22,Corinthians,3,0,Bahia
9,2017-06-22,Ponte Preta,1,0,Cruzeiro EC
9,2017-06-22,Flamengo,5,1,Chapecoense
9,2017-06-22,Grêmio,2,0,Coritiba
10,2017-06-24,Santos,0,1,Sport Recife
10,2017-06-25,Vasco,1,0,Atlético GO
10,2017-06-25,Athletico-PR,4,1,Vitória
10,2017-06-25,Cruzeiro EC,2,0,Coritiba
10,2017-06-25,Grêmio,0,1,Corinthians
10,2017-06-25,Ponte Preta,1,2,Palmeiras
10,2017-06-25,São Paulo,1,1,Fluminense
10,2017-06-25,Bahia,0,1,Flamengo
10,2017-06-25,Chapecoense,0,1,Atl. Mineiro
10,2017-06-26,Botafogo,0,2,Avaí
11,2017-07-01,Palmeiras,1,0,Grêmio
11,2017-07-01,Atlético GO,1,1,Santos
11,2017-07-02,Atl. Mineiro,3,1,Cruzeiro EC
11,2017-07-02,Corinthians,1,0,Botafogo
11,2017-07-02,Flamengo,2,0,São Paulo
11,2017-07-02,Sport Recife,1,0,Athletico-PR
11,2017-07-02,Vitória,0,0,Bahia
11,2017-07-02,Avaí,0,0,Ponte Preta
11,2017-07-02,Coritiba,2,2,Vasco
11,2017-07-03,Fluminense,3,3,Chapecoense
12,2017-07-08,Atlético GO,1,2,Vitória
12,2017-07-08,Vasco,0,1,Flamengo
12,2017-07-08,Corinthians,2,0,Ponte Preta
12,2017-07-09,Chapecoense,1,1,Athletico-PR
12,2017-07-09,Bahia,1,1,Fluminense
12,2017-07-09,Cruzeiro EC,3,1,Palmeiras
12,2017-07-09,Grêmio,0,2,Avaí
12,2017-07-09,Botafogo,1,1,Atl. Mineiro
12,2017-07-09,Santos,3,2,São Paulo
12,2017-07-10,Coritiba,0,3,Sport Recife
13,2017-07-12,Atl. Mineiro,0,1,Santos
13,2017-07-12,Ponte Preta,0,3,Bahia
13,2017-07-12,Fluminense,0,1,Botafogo
13,2017-07-12,Athletico-PR,0,2,Cruzeiro EC
13,2017-07-12,Palmeiras,0,2,Corinthians
13,2017-07-12,Vitória,1,4,Vasco
13,2017-07-13,Flamengo,0,1,Grêmio
13,2017-07-13,São Paulo,2,2,Atlético GO
13,2017-07-13,Sport Recife,3,0,Chapecoense
13,2017-07-13,Avaí,1,4,Coritiba
14,2017-07-15,Corinthians,2,2,Athletico-PR
14,2017-07-16,Palmeiras,4,2,Vitória
14,2017-07-16,Atlético GO,1,2,Atl. Mineiro
14,2017-07-16,Chapecoense,2,0,São Paulo
14,2017-07-16,Cruzeiro EC,1,1,Flamengo
14,2017-07-16,Grêmio,3,1,Ponte Preta
14,2017-07-16,Vasco,0,0,Santos
14,2017-07-16,Bahia,1,1,Avaí
