round,date,home_team,home_score,away_score,away_team
1,2018-04-14,Cruzeiro EC,0,1,Grêmio
1,2018-04-14,Vitória,2,2,Flamengo
1,2018-04-14,Santos,2,0,Ceará
1,2018-04-15,América MG,3,0,Sport Recife
1,2018-04-15,Corinthians,2,1,Fluminense
1,2018-04-15,Internacional,2,0,Bahia
1,2018-04-15,Vasco,2,1,Atl. Mineiro
1,2018-04-15,Athletico-PR,5,1,Chapecoense
1,2018-04-16,Botafogo,1,1,Palmeiras
1,2018-04-16,São Paulo,1,0,Paraná
2,2018-04-21,Bahia,1,0,Santos
2,2018-04-21,Flamengo,2,0,América MG
2,2018-04-22,Paraná,0,4,Corinthians
2,2018-04-22,Atl. Mineiro,2,1,Vitória
2,2018-04-22,Ceará,0,0,São Paulo
2,2018-04-22,Chapecoense,1,1,Vasco
2,2018-04-22,Fluminense,1,0,Cruzeiro EC
2,2018-04-22,Palmeiras,1,0,Internacional
2,2018-04-22,Grêmio,0,0,Athletico-PR
2,2018-04-23,Sport Recife,1,1,Botafogo
3,2018-04-28,Botafogo,2,1,Grêmio
3,2018-04-29,Atl. Mineiro,1,0,Corinthians
3,2018-04-29,Bahia,0,0,Athletico-PR
3,2018-04-29,Ceará,0,3,Flamengo
3,2018-04-29,Fluminense,1,1,São Paulo
3,2018-04-29,Palmeiras,0,0,Chapecoense
3,2018-04-29,Paraná,1,2,Sport Recife
3,2018-04-29,Internacional,0,0,Cruzeiro EC
3,2018-04-30,América MG,2,1,Vitória
3,2018-09-27,Santos,1,1,Vasco
4,2018-05-05,São Paulo,2,2,Atl. Mineiro
4,2018-05-05,Vasco,4,1,América MG
4,2018-05-06,Corinthians,1,1,Ceará
4,2018-05-06,Athletico-PR,1,3,Palmeiras
4,2018-05-06,Cruzeiro EC,1,0,Botafogo
4,2018-05-06,Flamengo,2,0,Internacional
4,2018-05-06,Vitória,1,2,Fluminense
4,2018-05-06,Grêmio,5,1,Santos
4,2018-05-06,Sport Recife,2,0,Bahia
4,2018-05-07,Chapecoense,1,1,Paraná
5,2018-05-12,Grêmio,0,0,Internacional
5,2018-05-13,Cruzeiro EC,2,0,Sport Recife
5,2018-05-13,Bahia,2,2,São Paulo
5,2018-05-13,Chapecoense,3,2,Flamengo
5,2018-05-13,Athletico-PR,1,2,Atl. Mineiro
5,2018-05-13,Corinthians,1,0,Palmeiras
5,2018-05-13,Vasco,2,3,Vitória
5,2018-05-13,Santos,3,1,Paraná
5,2018-05-14,Botafogo,2,1,Fluminense
5,2018-05-14,Ceará,2,2,América MG
6,2018-05-19,Atl. Mineiro,1,0,Cruzeiro EC
6,2018-05-19,Flamengo,1,1,Vasco
6,2018-05-19,Palmeiras,3,0,Bahia
6,2018-05-20,Vitória,2,1,Ceará
6,2018-05-20,América MG,1,0,Botafogo
6,2018-05-20,Paraná,0,0,Grêmio
6,2018-05-20,São Paulo,1,0,Santos
6,2018-05-20,Sport Recife,1,1,Corinthians
6,2018-05-20,Fluminense,2,0,Athletico-PR
6,2018-05-21,Internacional,3,0,Chapecoense
7,2018-05-26,Fluminense,3,1,Chapecoense
7,2018-05-26,Palmeiras,2,3,Sport Recife
7,2018-05-26,Atl. Mineiro,0,1,Flamengo
7,2018-05-27,Paraná,0,0,Athletico-PR
7,2018-05-27,Bahia,3,0,Vasco
7,2018-05-27,Botafogo,1,1,Vitória
7,2018-05-27,Internacional,2,1,Corinthians
7,2018-05-27,Santos,0,1,Cruzeiro EC
7,2018-05-27,América MG,1,3,São Paulo
7,2018-05-27,Ceará,0,1,Grêmio
8,2018-05-30,Sport Recife,3,2,Atl. Mineiro
8,2018-05-30,Vasco,1,0,Paraná
8,2018-05-30,Vitória,2,3,Internacional
8,2018-05-30,Chapecoense,2,0,Ceará
8,2018-05-30,São Paulo,3,2,Botafogo
8,2018-05-30,Cruzeiro EC,1,0,Palmeiras
8,2018-05-30,Grêmio,0,0,Fluminense
8,2018-05-31,Flamengo,2,0,Bahia
8,2018-05-31,Corinthians,1,0,América MG
8,2018-05-31,Athletico-PR,2,0,Santos
9,2018-06-02,Atl. Mineiro,3,3,Chapecoense
9,2018-06-02,Internacional,0,0,Sport Recife
9,2018-06-02,Vasco,1,2,Botafogo
9,2018-06-02,Palmeiras,3,1,São Paulo
9,2018-06-03,América MG,3,1,Athletico-PR
9,2018-06-03,Bahia,0,2,Grêmio
9,2018-06-03,Flamengo,1,0,Corinthians
9,2018-06-03,Santos,5,2,Vitória
9,2018-06-03,Ceará,0,1,Cruzeiro EC
9,2018-06-04,Paraná,2,1,Fluminense
10,2018-06-05,São Paulo,0,0,Internacional
