date,gameweek,home,home_score,away_score,away
2017-05-13 16:00:00,1,Flamengo,1,1,Atlético Mineiro
2017-05-13 19:00:00,1,Corinthians,1,1,Chapecoense
2017-05-14 11:00:00,1,Fluminense,3,2,Santos
2017-05-14 16:00:00,1,Palmeiras,4,0,Vasco da Gama
2017-05-14 16:00:00,1,Bahia,6,2,Atl Paranaense
2017-05-14 16:00:00,1,Avaí,0,0,Vitória
2017-05-14 16:00:00,1,Ponte Preta,4,0,Sport Recife
2017-05-14 16:00:00,1,Cruzeiro,1,0,São Paulo
2017-05-14 19:00:00,1,Grêmio,2,0,Botafogo (RJ)
2017-05-15 20:00:00,1,Coritiba,4,1,Atl Goianiense
2017-05-20 16:00:00,2,Santos,1,0,Coritiba
2017-05-20 19:00:00,2,Atl Goianiense,0,3,Flamengo
2017-05-20 19:00:00,2,Chapecoense,1,0,Palmeiras
2017-05-21 11:00:00,2,Vasco da Gama,2,1,Bahia
2017-05-21 16:00:00,2,Atl Paranaense,0,2,Grêmio
2017-05-21 16:00:00,2,Atlético Mineiro,1,2,Fluminense
2017-05-21 16:00:00,2,Vitória,0,1,Corinthians
2017-05-21 18:00:00,2,Botafogo (RJ),2,0,Ponte Preta
2017-05-21 19:00:00,2,Sport Recife,1,1,Cruzeiro
2017-05-22 20:00:00,2,São Paulo,2,0,Avaí
2017-05-27 16:00:00,3,Vasco da Gama,3,2,Fluminense
2017-05-27 19:00:00,3,São Paulo,2,0,Palmeiras
2017-05-27 21:00:00,3,Vitória,0,1,Coritiba
2017-05-28 11:00:00,3,Atlético Mineiro,2,2,Ponte Preta
2017-05-28 16:00:00,3,Atl Paranaense,1,1,Flamengo
2017-05-28 16:00:00,3,Santos,0,1,Cruzeiro
2017-05-28 16:00:00,3,Atl Goianiense,0,1,Corinthians
2017-05-28 18:00:00,3,Sport Recife,4,3,Grêmio
2017-05-28 19:00:00,3,Botafogo (RJ),1,0,Bahia
2017-05-29 20:00:00,3,Chapecoense,2,0,Avaí
2017-06-03 16:00:00,4,Coritiba,1,0,Atl Paranaense
2017-06-03 18:00:00,4,Fluminense,2,1,Vitória
2017-06-03 19:00:00,4,Corinthians,2,0,Santos
2017-06-04 11:00:00,4,Avaí,1,0,Sport Recife
2017-06-04 11:00:00,4,Flamengo,0,0,Botafogo (RJ)
2017-06-04 16:00:00,4,Ponte Preta,1,0,São Paulo
2017-06-04 16:00:00,4,Grêmio,2,0,Vasco da Gama
2017-06-04 16:00:00,4,Palmeiras,0,0,Atlético Mineiro
2017-06-04 19:00:00,4,Cruzeiro,0,2,Chapecoense
2017-06-05 20:00:00,4,Bahia,3,0,Atl Goianiense
2017-06-06 20:00:00,5,Fluminense,1,1,Atl Paranaense
2017-06-07 19:30:00,5,Coritiba,1,0,Palmeiras
2017-06-07 19:30:00,5,Atlético Mineiro,1,0,Avaí
2017-06-07 21:00:00,5,Santos,1,0,Botafogo (RJ)
2017-06-07 21:45:00,5,Sport Recife,2,0,Flamengo
2017-06-07 21:45:00,5,Vasco da Gama,2,5,Corinthians
2017-06-08 19:30:00,5,São Paulo,2,0,Vitória
2017-06-08 19:30:00,5,Atl Goianiense,3,0,Ponte Preta
2017-06-08 20:00:00,5,Chapecoense,3,6,Grêmio
2017-06-08 21:00:00,5,Bahia,1,0,Cruzeiro
2017-06-10 16:00:00,6,Palmeiras,3,1,Fluminense
2017-06-10 19:00:00,6,Vasco da Gama,2,1,Sport Recife
2017-06-11 11:00:00,6,Botafogo (RJ),2,2,Coritiba
2017-06-11 16:00:00,6,Corinthians,3,2,São Paulo
2017-06-11 16:00:00,6,Vitória,2,0,Atlético Mineiro
2017-06-11 16:00:00,6,Ponte Preta,3,2,Chapecoense
2017-06-11 16:00:00,6,Avaí,1,1,Flamengo
2017-06-11 18:30:00,6,Cruzeiro,2,0,Atl Goianiense
2017-06-11 19:00:00,6,Atl Paranaense,0,2,Santos
2017-06-12 20:00:00,6,Grêmio,1,0,Bahia
2017-06-14 19:30:00,7,Atlético Mineiro,0,1,Atl Paranaense
2017-06-14 19:30:00,7,Vitória,2,2,Botafogo (RJ)
2017-06-14 19:30:00,7,Atl Goianiense,3,1,Avaí
2017-06-14 19:30:00,7,Sport Recife,0,0,São Paulo
2017-06-14 21:00:00,7,Flamengo,2,0,Ponte Preta
2017-06-14 21:45:00,7,Corinthians,1,0,Cruzeiro
2017-06-14 21:45:00,7,Santos,1,0,Palmeiras
2017-06-14 21:45:00,7,Chapecoense,2,1,Vasco da Gama
2017-06-15 16:00:00,7,Coritiba,0,0,Bahia
2017-06-15 21:00:00,7,Fluminense,0,2,Grêmio
2017-06-17 16:00:00,8,Atl Goianiense,0,1,Atl Paranaense
2017-06-17 19:00:00,8,Vasco da Gama,1,0,Avaí
2017-06-17 21:00:00,8,Santos,0,0,Ponte Preta
2017-06-18 11:00:00,8,Coritiba,0,0,Corinthians
2017-06-18 16:00:00,8,Fluminense,2,2,Flamengo
2017-06-18 16:00:00,8,Bahia,2,4,Palmeiras
2017-06-18 16:00:00,8,São Paulo,1,2,Atlético Mineiro
2017-06-18 16:00:00,8,Chapecoense,0,2,Botafogo (RJ)
2017-06-18 19:00:00,8,Sport Recife,1,3,Vitória
2017-06-19 20:00:00,8,Cruzeiro,3,3,Grêmio
2017-06-21 19:30:00,9,Vitória,0,2,Santos
2017-06-21 21:00:00,9,Botafogo (RJ),3,1,Vasco da Gama
