date,gameweek,home,home_score,away_score,away
2020-08-08 19:00:00,1,Fortaleza,0,2,Atl Paranaense
2020-08-08 19:30:00,1,Coritiba,0,1,Internacional
2020-08-08 21:00:00,1,Sport Recife,3,2,Ceará
2020-08-09 16:00:00,1,Flamengo,0,1,Atlético Mineiro
2020-08-09 16:00:00,1,Santos,1,1,Bragantino
2020-08-09 19:00:00,1,Grêmio,1,0,Fluminense
2020-08-12 19:15:00,2,Atlético Mineiro,3,2,Corinthians
2020-08-12 19:15:00,2,Bragantino,1,1,Botafogo (RJ)
2020-08-12 19:15:00,2,Atl Paranaense,2,1,Goiás
2020-08-12 20:30:00,2,Atl Goianiense,3,0,Flamengo
2020-08-12 20:30:00,2,Bahia,1,0,Coritiba
2020-08-12 21:30:00,2,Fluminense,1,1,Palmeiras
2020-08-12 21:30:00,2,Ceará,1,1,Grêmio
2020-08-13 19:15:00,2,São Paulo,1,0,Fortaleza
2020-08-13 19:30:00,2,Internacional,2,0,Santos
2020-08-13 20:00:00,2,Vasco da Gama,2,0,Sport Recife
2020-08-15 19:00:00,3,Grêmio,0,0,Corinthians
2020-08-15 19:30:00,3,Coritiba,0,1,Flamengo
2020-08-15 21:30:00,3,Palmeiras,1,1,Goiás
2020-08-16 11:00:00,3,Atlético Mineiro,2,0,Ceará
2020-08-16 16:00:00,3,Bahia,2,1,Bragantino
2020-08-16 16:00:00,3,Vasco da Gama,2,1,São Paulo
2020-08-16 18:00:00,3,Fluminense,2,1,Internacional
2020-08-16 19:00:00,3,Atl Goianiense,1,1,Sport Recife
2020-08-16 19:30:00,3,Fortaleza,0,0,Botafogo (RJ)
2020-08-16 19:45:00,3,Santos,3,1,Atl Paranaense
2020-08-19 19:15:00,4,Flamengo,1,1,Grêmio
2020-08-19 19:15:00,4,Bragantino,2,1,Fluminense
2020-08-19 19:30:00,4,Atl Paranaense,0,1,Palmeiras
2020-08-19 20:30:00,4,Internacional,3,0,Atl Goianiense
2020-08-19 20:30:00,4,Goiás,1,3,Fortaleza
2020-08-19 21:30:00,4,Corinthians,3,1,Coritiba
2020-08-19 21:30:00,4,Botafogo (RJ),2,1,Atlético Mineiro
2020-08-20 19:15:00,4,Sport Recife,0,1,Santos
2020-08-20 20:00:00,4,Ceará,0,3,Vasco da Gama
2020-08-20 20:00:00,4,São Paulo,1,1,Bahia
2020-08-22 16:00:00,5,Atl Paranaense,0,1,Fluminense
2020-08-22 19:00:00,5,Internacional,1,0,Atlético Mineiro
2020-08-22 21:00:00,5,Goiás,2,0,Atl Goianiense
2020-08-23 11:00:00,5,Flamengo,1,1,Botafogo (RJ)
2020-08-23 16:00:00,5,Palmeiras,2,1,Santos
2020-08-23 16:00:00,5,Vasco da Gama,0,0,Grêmio
2020-08-23 16:00:00,5,Bragantino,1,2,Coritiba
2020-08-23 19:00:00,5,Sport Recife,0,1,São Paulo
2020-08-23 20:00:00,5,Ceará,2,0,Bahia
2020-08-26 19:00:00,11,São Paulo,1,0,Atl Paranaense
2020-08-26 21:30:00,5,Corinthians,1,1,Fortaleza
2020-08-29 17:00:00,6,Botafogo (RJ),0,2,Internacional
2020-08-29 19:00:00,6,Fluminense,2,1,Vasco da Gama
2020-08-29 19:00:00,6,Bahia,1,1,Palmeiras
2020-08-29 21:00:00,6,Fortaleza,3,0,Bragantino
2020-08-30 11:00:00,6,São Paulo,2,1,Corinthians
2020-08-30 16:00:00,6,Santos,0,1,Flamengo
2020-08-30 16:00:00,6,Coritiba,1,0,Sport Recife
2020-08-30 18:00:00,6,Atl Goianiense,0,2,Ceará
2020-09-02 19:00:00,7,Ceará,1,0,Fortaleza
2020-09-02 19:15:00,7,Goiás,1,2,Corinthians
2020-09-02 19:30:00,7,Fluminense,1,1,Atl Goianiense
2020-09-02 20:30:00,7,Botafogo (RJ),0,0,Coritiba
2020-09-02 20:30:00,7,Bahia,3,5,Flamengo
2020-09-02 20:30:00,7,Atl Paranaense,1,1,Bragantino
2020-09-02 21:30:00,7,Santos,2,2,Vasco da Gama
2020-09-02 21:30:00,7,Palmeiras,1,1,Internacional
2020-09-03 19:00:00,7,Grêmio,1,2,Sport Recife
2020-09-03 20:00:00,7,Atlético Mineiro,3,0,São Paulo
2020-09-05 17:00:00,8,Flamengo,2,1,Fortaleza
2020-09-05 19:00:00,8,Corinthians,2,2,Botafogo (RJ)
2020-09-05 21:00:00,8,Ceará,0,1,Santos
2020-09-06 11:00:00,8,Bragantino,1,2,Palmeiras
2020-09-06 16:00:00,8,São Paulo,3,1,Fluminense
2020-09-06 16:00:00,8,Internacional,2,2,Bahia
2020-09-06 18:00:00,8,Vasco da Gama,1,0,Atl Paranaense
2020-09-06 19:00:00,8,Atl Goianiense,1,1,Grêmio
2020-09-06 20:30:00,8,Coritiba,0,1,Atlético Mineiro
2020-09-06 20:30:00,8,Sport Recife,2,1,Goiás
2020-09-09 17:30:00,9,Atl Paranaense,1,1,Botafogo (RJ)
2020-09-09 18:00:00,9,Goiás,3,3,Coritiba
2020-09-09 18:00:00,9,Fortaleza,1,0,Sport Recife
2020-09-09 19:15:00,9,São Paulo,1,1,Bragantino
2020-09-09 21:30:00,9,Santos,3,1,Atlético Mineiro
2020-09-09 21:30:00,9,Fluminense,1,2,Flamengo
2020-09-10 19:15:00,9,Corinthians,0,2,Palmeiras
2020-09-10 19:15:00,9,Bahia,0,2,Grêmio
2020-09-10 19:15:00,9,Internacional,2,0,Ceará
2020-09-10 21:00:00,9,Vasco da Gama,1,2,Atl Goianiense
2020-09-12 16:30:00,10,Atl Paranaense,1,0,Coritiba
2020-09-12 19:00:00,10,Santos,2,2,São Paulo
2020-09-13 16:00:00,10,Grêmio,1,1,Fortaleza
2020-09-13 16:00:00,10,Fluminense,2,1,Corinthians
2020-09-13 18:00:00,10,Goiás,1,0,Internacional
2020-09-13 18:00:00,10,Ceará,2,0,Flamengo
2020-09-13 18:00:00,10,Atlético Mineiro,2,1,Bragantino
2020-09-13 18:00:00,10,Bahia,0,1,Atl Goianiense
2020-09-13 19:45:00,10,Palmeiras,2,2,Sport Recife
2020-09-13 20:30:00,10,Botafogo (RJ),2,3,Vasco da Gama
2020-09-16 21:30:00,11,Corinthians,3,2,Bahia
2020-09-19 19:00:00,11,Bragantino,4,2,Ceará
2020-09-19 19:00:00,11,Fortaleza,1,0,Internacional
2020-09-19 21:00:00,11,Atl Goianiense,3,4,Atlético Mineiro
2020-09-20 16:00:00,11,Grêmio,1,1,Palmeiras
2020-09-20 16:00:00,11,Coritiba,1,0,Vasco da Gama
2020-09-20 18:15:00,11,Botafogo (RJ),0,0,Santos
2020-09-20 20:30:00,11,Sport Recife,1,0,Fluminense
2020-09-23 21:30:00,12,Sport Recife,1,0,Corinthians
2020-09-26 19:00:00,12,Atl Paranaense,1,0,Bahia
2020-09-26 19:00:00,12,Internacional,1,1,São Paulo
2020-09-26 21:00:00,12,Atlético Mineiro,3,1,Grêmio
2020-09-27 11:00:00,12,Vasco da Gama,1,1,Bragantino
