date,gameweek,home,home_score,away_score,away
2015-07-02 21:00:00,10,Fluminense,2,1,Santos
2015-07-04 15:00:00,11,Coritiba,0,0,Joinville
2015-07-04 21:00:00,11,Chapecoense,1,0,Vasco da Gama
2015-07-04 21:00:00,11,Cruzeiro,2,0,Atl Paranaense
2015-07-05 11:00:00,11,Avaí,2,2,Sport Recife
2015-07-05 16:00:00,11,Santos,1,3,Grêmio
2015-07-05 16:00:00,11,Goiás,0,0,Corinthians
2015-07-05 16:00:00,11,São Paulo,0,0,Fluminense
2015-07-05 18:30:00,11,Internacional,1,3,Atlético Mineiro
2015-07-05 18:30:00,11,Ponte Preta,0,2,Palmeiras
2015-07-05 18:30:00,11,Flamengo,1,2,Figueirense
2015-07-08 19:30:00,12,Goiás,4,1,Santos
2015-07-08 19:30:00,12,Chapecoense,1,0,Grêmio
2015-07-08 19:30:00,12,Coritiba,0,0,Ponte Preta
2015-07-08 21:00:00,12,Figueirense,0,2,Joinville
2015-07-08 21:00:00,12,Palmeiras,3,0,Avaí
2015-07-08 22:00:00,12,Vasco da Gama,0,4,São Paulo
2015-07-08 22:00:00,12,Internacional,1,2,Flamengo
2015-07-08 22:00:00,12,Atlético Mineiro,2,1,Sport Recife
2015-07-09 19:30:00,12,Corinthians,2,0,Atl Paranaense
2015-07-09 21:00:00,12,Fluminense,1,0,Cruzeiro
2015-07-11 18:30:00,13,Grêmio,2,0,Vasco da Gama
2015-07-11 18:30:00,13,Santos,3,0,Figueirense
2015-07-11 21:00:00,13,Ponte Preta,0,2,Atlético Mineiro
2015-07-12 11:00:00,13,São Paulo,3,1,Coritiba
2015-07-12 16:00:00,13,Joinville,0,2,Internacional
2015-07-12 16:00:00,13,Flamengo,0,3,Corinthians
2015-07-12 16:00:00,13,Cruzeiro,1,0,Goiás
2015-07-12 16:00:00,13,Atl Paranaense,1,2,Fluminense
2015-07-12 18:30:00,13,Avaí,2,1,Chapecoense
2015-07-12 18:30:00,13,Sport Recife,2,2,Palmeiras
2015-07-18 18:30:00,14,Flamengo,1,0,Grêmio
2015-07-18 18:30:00,14,Internacional,2,1,Goiás
2015-07-18 21:00:00,14,Corinthians,1,0,Atlético Mineiro
2015-07-19 11:00:00,14,Atl Paranaense,1,0,Chapecoense
2015-07-19 16:00:00,14,Palmeiras,1,0,Santos
2015-07-19 16:00:00,14,Fluminense,1,2,Vasco da Gama
2015-07-19 16:00:00,14,Figueirense,0,0,Coritiba
2015-07-19 16:00:00,14,Sport Recife,2,0,São Paulo
2015-07-19 18:30:00,14,Cruzeiro,1,1,Avaí
2015-07-19 18:30:00,14,Joinville,1,1,Ponte Preta
2015-07-25 18:30:00,15,Avaí,1,2,Atl Paranaense
2015-07-25 19:30:00,15,Grêmio,1,1,Sport Recife
2015-07-25 21:00:00,15,Atlético Mineiro,1,0,Figueirense
2015-07-26 11:00:00,15,Chapecoense,2,1,Fluminense
2015-07-26 11:00:00,15,Santos,2,0,Joinville
2015-07-26 16:00:00,15,São Paulo,1,0,Cruzeiro
2015-07-26 16:00:00,15,Coritiba,1,1,Corinthians
2015-07-26 16:00:00,15,Goiás,0,1,Flamengo
2015-07-26 16:00:00,15,Ponte Preta,0,0,Internacional
2015-07-26 18:30:00,15,Vasco da Gama,1,4,Palmeiras
2015-07-29 22:00:00,16,Corinthians,3,0,Vasco da Gama
2015-07-29 22:00:00,16,Atlético Mineiro,3,1,São Paulo
2015-08-01 18:30:00,16,Fluminense,1,0,Grêmio
2015-08-02 11:00:00,16,Palmeiras,0,1,Atl Paranaense
2015-08-02 11:00:00,16,Coritiba,1,1,Goiás
2015-08-02 16:00:00,16,Internacional,0,0,Chapecoense
2015-08-02 16:00:00,16,Flamengo,2,2,Santos
2015-08-02 16:00:00,16,Figueirense,3,1,Ponte Preta
2015-08-02 16:00:00,16,Joinville,2,0,Avaí
2015-08-02 18:30:00,16,Sport Recife,0,0,Cruzeiro
2015-08-08 18:30:00,17,Avaí,1,0,Fluminense
2015-08-08 21:00:00,17,Santos,3,0,Coritiba
2015-08-09 11:00:00,17,Vasco da Gama,0,0,Joinville
2015-08-09 11:00:00,17,Atl Paranaense,1,1,Sport Recife
2015-08-09 16:00:00,17,Ponte Preta,1,0,Flamengo
2015-08-09 16:00:00,17,Goiás,0,0,Atlético Mineiro
2015-08-09 16:00:00,17,Cruzeiro,2,1,Palmeiras
2015-08-09 16:00:00,17,São Paulo,1,1,Corinthians
2015-08-09 18:30:00,17,Grêmio,5,0,Internacional
2015-08-09 18:30:00,17,Chapecoense,2,2,Figueirense
2015-08-12 19:30:00,18,Coritiba,2,1,Palmeiras
2015-08-12 19:30:00,18,Flamengo,3,2,Atl Paranaense
2015-08-12 21:00:00,18,Santos,1,0,Vasco da Gama
2015-08-12 21:00:00,18,Goiás,0,0,Chapecoense
2015-08-12 22:00:00,18,Corinthians,4,3,Sport Recife
2015-08-12 22:00:00,18,Internacional,1,0,Fluminense
2015-08-12 22:00:00,18,Figueirense,0,2,São Paulo
2015-08-13 19:30:00,18,Ponte Preta,2,0,Avaí
2015-08-13 21:00:00,18,Atlético Mineiro,0,2,Grêmio
2015-08-13 21:00:00,18,Joinville,3,0,Cruzeiro
2015-08-15 18:30:00,19,Vasco da Gama,0,1,Coritiba
2015-08-15 18:30:00,19,Atl Paranaense,0,0,Santos
2015-08-15 21:00:00,19,São Paulo,0,3,Goiás
2015-08-16 11:00:00,19,Palmeiras,4,2,Flamengo
2015-08-16 16:00:00,19,Sport Recife,1,1,Ponte Preta
2015-08-16 16:00:00,19,Cruzeiro,0,0,Internacional
2015-08-16 16:00:00,19,Avaí,1,2,Corinthians
2015-08-16 16:00:00,19,Fluminense,2,1,Figueirense
2015-08-16 18:30:00,19,Grêmio,2,1,Joinville
2015-08-16 18:30:00,19,Chapecoense,2,1,Atlético Mineiro
2015-08-22 18:30:00,20,Santos,5,2,Avaí
2015-08-22 18:30:00,20,Goiás,3,0,Vasco da Gama
2015-08-22 21:00:00,20,Figueirense,2,1,Sport Recife
2015-08-23 11:00:00,20,Ponte Preta,0,0,Grêmio
2015-08-23 11:00:00,20,Coritiba,1,0,Chapecoense
2015-08-23 16:00:00,20,Flamengo,2,1,São Paulo
2015-08-23 16:00:00,20,Joinville,2,1,Fluminense
2015-08-23 16:00:00,20,Corinthians,3,0,Cruzeiro
2015-08-23 16:00:00,20,Internacional,2,0,Atl Paranaense
2015-08-23 18:30:00,20,Atlético Mineiro,2,1,Palmeiras
2015-08-29 18:30:00,21,Vasco da Gama,0,1,Figueirense
2015-08-29 21:00:00,21,São Paulo,3,0,Ponte Preta
2015-08-30 11:00:00,21,Avaí,3,0,Internacional
2015-08-30 11:00:00,21,Grêmio,0,0,Coritiba
2015-08-30 16:00:00,21,Chapecoense,1,3,Corinthians
2015-08-30 16:00:00,21,Fluminense,1,2,Atlético Mineiro
2015-08-30 16:00:00,21,Sport Recife,0,1,Flamengo
2015-08-30 16:00:00,21,Palmeiras,3,2,Joinville
2015-08-30 18:30:00,21,Atl Paranaense,3,0,Goiás
2015-08-30 18:30:00,21,Cruzeiro,0,1,Santos
2015-09-02 19:30:00,22,Internacional,6,0,Vasco da Gama
2015-09-02 19:30:00,22,Joinville,0,0,São Paulo
2015-09-02 19:30:00,22,Ponte Preta,1,2,Cruzeiro
2015-09-02 21:00:00,22,Atlético Mineiro,0,1,Atl Paranaense
2015-09-02 21:00:00,22,Flamengo,3,0,Avaí
2015-09-02 22:00:00,22,Coritiba,0,0,Sport Recife
2015-09-02 22:00:00,22,Corinthians,2,0,Fluminense
2015-09-02 22:00:00,22,Goiás,1,0,Palmeiras
2015-09-03 19:30:00,22,Santos,3,1,Chapecoense
2015-09-03 21:00:00,22,Figueirense,0,2,Grêmio
2015-09-05 19:30:00,23,São Paulo,2,0,Internacional
2015-09-05 19:30:00,23,Vasco da Gama,1,2,Atlético Mineiro
2015-09-05 21:00:00,23,Atl Paranaense,0,0,Joinville
2015-09-06 11:00:00,23,Cruzeiro,5,1,Figueirense
