date,gameweek,home,home_score,away_score,away
2016-05-14 16:00:00,1,Palmeiras,4,0,Atl Paranaense
2016-05-14 16:00:00,1,Flamengo,1,0,Sport Recife
2016-05-14 18:30:00,1,Atlético Mineiro,1,0,Santos
2016-05-14 21:00:00,1,Coritiba,1,0,Cruzeiro
2016-05-15 11:00:00,1,Santa Cruz,4,1,Vitória
2016-05-15 11:00:00,1,Botafogo (RJ),0,1,São Paulo
2016-05-15 16:00:00,1,América (MG),0,1,Fluminense
2016-05-15 16:00:00,1,Corinthians,0,0,Grêmio
2016-05-15 16:00:00,1,Figueirense,0,0,Ponte Preta
2016-05-15 18:30:00,1,Internacional,0,0,Chapecoense
2016-05-21 16:00:00,2,Ponte Preta,2,1,Palmeiras
2016-05-21 18:30:00,2,Fluminense,2,2,Santa Cruz
2016-05-21 21:00:00,2,Cruzeiro,2,2,Figueirense
2016-05-22 11:00:00,2,Atl Paranaense,1,1,Atlético Mineiro
2016-05-22 11:00:00,2,Santos,2,1,Coritiba
2016-05-22 16:00:00,2,São Paulo,1,2,Internacional
2016-05-22 16:00:00,2,Grêmio,1,0,Flamengo
2016-05-22 16:00:00,2,Vitória,3,2,Corinthians
2016-05-22 16:00:00,2,Chapecoense,3,1,América (MG)
2016-05-22 18:30:00,2,Sport Recife,1,1,Botafogo (RJ)
2016-05-25 19:30:00,3,Botafogo (RJ),2,1,Atl Paranaense
2016-05-25 19:30:00,3,Figueirense,2,2,Santos
2016-05-25 21:00:00,3,América (MG),1,1,Vitória
2016-05-25 21:00:00,3,Flamengo,2,2,Chapecoense
2016-05-25 21:45:00,3,Santa Cruz,4,1,Cruzeiro
2016-05-25 21:45:00,3,Coritiba,1,1,São Paulo
2016-05-25 21:45:00,3,Palmeiras,2,0,Fluminense
2016-05-26 11:00:00,3,Corinthians,3,0,Ponte Preta
2016-05-26 16:00:00,3,Internacional,1,0,Sport Recife
2016-05-26 21:00:00,3,Atlético Mineiro,0,3,Grêmio
2016-05-28 16:00:00,4,Cruzeiro,1,1,América (MG)
2016-05-28 18:30:00,4,Atl Paranaense,2,1,Figueirense
2016-05-28 21:00:00,4,Chapecoense,1,1,Santa Cruz
2016-05-29 11:00:00,4,Sport Recife,0,2,Corinthians
2016-05-29 11:00:00,4,Ponte Preta,1,2,Flamengo
2016-05-29 16:00:00,4,Vitória,1,1,Atlético Mineiro
2016-05-29 16:00:00,4,Fluminense,1,0,Botafogo (RJ)
2016-05-29 16:00:00,4,São Paulo,1,0,Palmeiras
2016-05-29 18:30:00,4,Santos,0,1,Internacional
2016-05-29 18:30:00,4,Grêmio,2,0,Coritiba
2016-06-01 19:30:00,5,Internacional,1,0,Atl Paranaense
2016-06-01 21:00:00,5,Santa Cruz,0,1,Sport Recife
2016-06-01 21:00:00,5,Coritiba,3,4,Chapecoense
2016-06-01 21:00:00,5,Corinthians,1,0,Santos
2016-06-01 21:45:00,5,Atlético Mineiro,1,1,Fluminense
2016-06-01 21:45:00,5,Figueirense,1,0,São Paulo
2016-06-01 21:45:00,5,Botafogo (RJ),0,1,Cruzeiro
2016-06-02 19:30:00,5,América (MG),1,2,Ponte Preta
2016-06-02 21:00:00,5,Flamengo,1,0,Vitória
2016-06-02 21:00:00,5,Palmeiras,4,3,Grêmio
2016-06-04 16:00:00,6,Atl Paranaense,1,0,Santa Cruz
2016-06-04 20:30:00,6,Chapecoense,0,0,Fluminense
2016-06-04 20:30:00,6,Corinthians,2,1,Coritiba
2016-06-05 11:00:00,6,Santos,3,0,Botafogo (RJ)
2016-06-05 11:00:00,6,América (MG),1,0,Figueirense
2016-06-05 16:00:00,6,Sport Recife,4,4,Atlético Mineiro
