date,gameweek,home,home_score,away_score,away
2019-04-27 16:00:00,1,São Paulo,2,0,Botafogo (RJ)
2019-04-27 19:00:00,1,Chapecoense,2,0,Internacional
2019-04-27 19:00:00,1,Atlético Mineiro,2,1,Avaí
2019-04-27 21:00:00,1,Flamengo,3,1,Cruzeiro
2019-04-28 11:00:00,1,Grêmio,1,2,Santos
2019-04-28 16:00:00,1,Ceará,4,0,CSA
2019-04-28 16:00:00,1,Atl Paranaense,4,1,Vasco da Gama
2019-04-28 16:00:00,1,Bahia,3,2,Corinthians
2019-04-28 19:00:00,1,Palmeiras,4,0,Fortaleza
2019-04-28 19:00:00,1,Fluminense,0,1,Goiás
2019-05-01 16:00:00,2,Internacional,2,1,Flamengo
2019-05-01 16:00:00,2,Corinthians,1,0,Chapecoense
2019-05-01 16:00:00,2,CSA,1,1,Palmeiras
2019-05-01 19:15:00,2,Cruzeiro,1,0,Ceará
2019-05-01 19:15:00,2,Avaí,1,1,Grêmio
2019-05-01 21:30:00,2,Goiás,1,2,São Paulo
2019-05-01 21:30:00,2,Fortaleza,2,1,Atl Paranaense
2019-05-01 21:30:00,2,Vasco da Gama,1,2,Atlético Mineiro
2019-05-02 19:15:00,2,Santos,2,1,Fluminense
2019-05-02 20:00:00,2,Botafogo (RJ),3,2,Bahia
2019-05-04 19:00:00,3,Palmeiras,1,0,Internacional
2019-05-04 19:00:00,3,Vasco da Gama,1,1,Corinthians
2019-05-04 21:00:00,3,Ceará,1,2,Atlético Mineiro
2019-05-05 11:00:00,3,Chapecoense,1,1,Atl Paranaense
2019-05-05 16:00:00,3,CSA,0,0,Santos
2019-05-05 16:00:00,3,Botafogo (RJ),1,0,Fortaleza
2019-05-05 16:00:00,3,Cruzeiro,2,1,Goiás
2019-05-05 16:00:00,3,São Paulo,1,1,Flamengo
2019-05-05 19:00:00,3,Grêmio,4,5,Fluminense
2019-05-05 19:00:00,3,Bahia,1,0,Avaí
2019-05-11 16:00:00,4,Fluminense,0,1,Botafogo (RJ)
2019-05-11 19:00:00,4,Corinthians,0,0,Grêmio
2019-05-11 21:00:00,4,Goiás,2,1,Ceará
2019-05-12 11:00:00,4,Flamengo,2,1,Chapecoense
2019-05-12 16:00:00,4,Santos,3,0,Vasco da Gama
2019-05-12 16:00:00,4,Internacional,3,1,Cruzeiro
2019-05-12 16:00:00,4,Atlético Mineiro,0,2,Palmeiras
2019-05-12 19:00:00,4,Atl Paranaense,1,0,Bahia
2019-05-12 19:00:00,4,Avaí,0,0,CSA
2019-05-12 19:00:00,4,Fortaleza,0,1,São Paulo
2019-05-18 18:00:00,5,Fluminense,4,1,Cruzeiro
2019-05-18 19:00:00,5,Palmeiras,4,0,Santos
2019-05-18 19:00:00,5,Atlético Mineiro,2,1,Flamengo
2019-05-19 11:00:00,5,São Paulo,0,0,Bahia
2019-05-19 16:00:00,5,Goiás,1,0,Botafogo (RJ)
2019-05-19 16:00:00,5,Atl Paranaense,0,2,Corinthians
2019-05-19 16:00:00,5,Internacional,2,0,CSA
2019-05-19 16:00:00,5,Chapecoense,1,3,Fortaleza
2019-05-19 19:00:00,5,Vasco da Gama,1,1,Avaí
2019-05-19 19:00:00,5,Ceará,2,1,Grêmio
2019-05-25 16:00:00,6,Botafogo (RJ),0,1,Palmeiras
2019-05-25 19:00:00,6,Grêmio,1,0,Atlético Mineiro
2019-05-26 16:00:00,6,Santos,0,0,Internacional
2019-05-26 16:00:00,6,Flamengo,3,2,Atl Paranaense
2019-05-26 19:00:00,6,Fortaleza,1,1,Vasco da Gama
2019-05-26 19:00:00,6,Corinthians,1,0,São Paulo
2019-05-26 19:00:00,6,Cruzeiro,1,2,Chapecoense
2019-05-26 19:00:00,6,Bahia,3,2,Fluminense
2019-05-27 20:00:00,6,Avaí,1,2,Ceará
2019-05-27 20:00:00,6,CSA,1,0,Goiás
2019-06-01 16:00:00,7,Flamengo,2,0,Fortaleza
2019-06-01 19:00:00,7,Bahia,1,0,Grêmio
2019-06-02 11:00:00,7,Botafogo (RJ),1,0,Vasco da Gama
2019-06-02 16:00:00,7,Atl Paranaense,3,0,Fluminense
2019-06-02 16:00:00,7,Ceará,0,1,Santos
2019-06-02 16:00:00,7,São Paulo,1,1,Cruzeiro
2019-06-02 19:00:00,7,Atlético Mineiro,4,0,CSA
2019-06-02 19:00:00,7,Chapecoense,1,2,Palmeiras
2019-06-02 19:00:00,7,Internacional,2,0,Avaí
2019-06-07 20:30:00,8,Vasco da Gama,2,1,Internacional
2019-06-08 16:30:00,8,Palmeiras,1,0,Atl Paranaense
2019-06-08 19:00:00,8,Grêmio,1,0,Fortaleza
2019-06-08 19:00:00,8,Cruzeiro,0,0,Corinthians
2019-06-08 19:30:00,8,Ceará,0,0,Bahia
2019-06-08 21:00:00,8,Avaí,0,0,São Paulo
2019-06-09 19:00:00,8,Santos,3,1,Atlético Mineiro
