date,gameweek,home,home_score,away_score,away
2018-04-14 16:00:00,1,Cruzeiro,0,1,Grêmio
2018-04-14 19:00:00,1,Vitória,2,2,Flamengo
2018-04-14 21:00:00,1,Santos,2,0,Ceará
2018-04-15 11:00:00,1,América (MG),3,0,Sport Recife
2018-04-15 16:00:00,1,Vasco da Gama,2,1,Atlético Mineiro
2018-04-15 16:00:00,1,Internacional,2,0,Bahia
2018-04-15 16:00:00,1,Corinthians,2,1,Fluminense
2018-04-15 19:00:00,1,Atl Paranaense,5,1,Chapecoense
2018-04-16 20:00:00,1,São Paulo,1,0,Paraná
2018-04-16 20:00:00,1,Botafogo (RJ),1,1,Palmeiras
2018-04-21 16:00:00,2,Bahia,1,0,Santos
2018-04-21 19:00:00,2,Flamengo,2,0,América (MG)
2018-04-22 11:00:00,2,Paraná,0,4,Corinthians
2018-04-22 16:00:00,2,Ceará,0,0,São Paulo
2018-04-22 16:00:00,2,Atlético Mineiro,2,1,Vitória
2018-04-22 16:00:00,2,Palmeiras,1,0,Internacional
2018-04-22 16:00:00,2,Fluminense,1,0,Cruzeiro
2018-04-22 16:00:00,2,Chapecoense,1,1,Vasco da Gama
2018-04-22 19:00:00,2,Grêmio,0,0,Atl Paranaense
2018-04-23 20:00:00,2,Sport Recife,1,1,Botafogo (RJ)
2018-04-28 16:00:00,3,Botafogo (RJ),2,1,Grêmio
2018-04-29 16:00:00,3,Bahia,0,0,Atl Paranaense
2018-04-29 16:00:00,3,Paraná,1,2,Sport Recife
2018-04-29 16:00:00,3,Atlético Mineiro,1,0,Corinthians
2018-04-29 16:00:00,3,Fluminense,1,1,São Paulo
2018-04-29 16:00:00,3,Palmeiras,0,0,Chapecoense
2018-04-29 16:00:00,3,Ceará,0,3,Flamengo
2018-04-29 19:00:00,3,Internacional,0,0,Cruzeiro
2018-04-30 20:00:00,3,América (MG),2,1,Vitória
2018-05-05 19:00:00,4,Vasco da Gama,4,1,América (MG)
2018-05-05 19:00:00,4,São Paulo,2,2,Atlético Mineiro
2018-05-06 11:00:00,4,Corinthians,1,1,Ceará
2018-05-06 16:00:00,4,Flamengo,2,0,Internacional
2018-05-06 16:00:00,4,Vitória,1,2,Fluminense
2018-05-06 16:00:00,4,Cruzeiro,1,0,Botafogo (RJ)
2018-05-06 16:00:00,4,Atl Paranaense,1,3,Palmeiras
2018-05-06 19:00:00,4,Sport Recife,2,0,Bahia
2018-05-06 19:00:00,4,Grêmio,5,1,Santos
2018-05-07 20:00:00,4,Chapecoense,1,1,Paraná
2018-05-12 16:00:00,5,Grêmio,0,0,Internacional
2018-05-13 11:00:00,5,Cruzeiro,2,0,Sport Recife
2018-05-13 16:00:00,5,Chapecoense,3,2,Flamengo
2018-05-13 16:00:00,5,Corinthians,1,0,Palmeiras
2018-05-13 16:00:00,5,Atl Paranaense,1,2,Atlético Mineiro
2018-05-13 16:00:00,5,Bahia,2,2,São Paulo
2018-05-13 16:00:00,5,Vasco da Gama,2,3,Vitória
2018-05-13 19:00:00,5,Santos,3,1,Paraná
2018-05-14 20:00:00,5,Ceará,2,2,América (MG)
2018-05-14 20:00:00,5,Botafogo (RJ),2,1,Fluminense
2018-05-19 16:00:00,6,Atlético Mineiro,1,0,Cruzeiro
2018-05-19 19:00:00,6,Flamengo,1,1,Vasco da Gama
2018-05-19 21:00:00,6,Palmeiras,3,0,Bahia
2018-05-20 11:00:00,6,Vitória,2,1,Ceará
2018-05-20 16:00:00,6,São Paulo,1,0,Santos
2018-05-20 16:00:00,6,América (MG),1,0,Botafogo (RJ)
2018-05-20 16:00:00,6,Sport Recife,1,1,Corinthians
2018-05-20 16:00:00,6,Paraná,0,0,Grêmio
2018-05-20 19:00:00,6,Fluminense,2,0,Atl Paranaense
2018-05-21 20:00:00,6,Internacional,3,0,Chapecoense
2018-05-26 16:00:00,7,Fluminense,3,1,Chapecoense
2018-05-26 19:00:00,7,Palmeiras,2,3,Sport Recife
2018-05-26 21:00:00,7,Atlético Mineiro,0,1,Flamengo
2018-05-27 11:00:00,7,Paraná,0,0,Atl Paranaense
2018-05-27 16:00:00,7,Santos,0,1,Cruzeiro
2018-05-27 16:00:00,7,Botafogo (RJ),1,1,Vitória
2018-05-27 16:00:00,7,Bahia,3,0,Vasco da Gama
2018-05-27 16:00:00,7,Internacional,2,1,Corinthians
2018-05-27 19:00:00,7,América (MG),1,3,São Paulo
2018-05-27 19:00:00,7,Ceará,0,1,Grêmio
2018-05-30 19:30:00,8,Vasco da Gama,1,0,Paraná
2018-05-30 19:30:00,8,Vitória,2,3,Internacional
2018-05-30 19:30:00,8,Sport Recife,3,2,Atlético Mineiro
2018-05-30 21:00:00,8,São Paulo,3,2,Botafogo (RJ)
2018-05-30 21:00:00,8,Chapecoense,2,0,Ceará
2018-05-30 21:45:00,8,Cruzeiro,1,0,Palmeiras
2018-05-30 21:45:00,8,Grêmio,0,0,Fluminense
2018-05-31 16:00:00,8,Flamengo,2,0,Bahia
2018-05-31 18:00:00,8,Corinthians,1,0,América (MG)
2018-05-31 21:00:00,8,Atl Paranaense,2,0,Santos
2018-06-02 16:00:00,9,Atlético Mineiro,3,3,Chapecoense
2018-06-02 16:00:00,9,Internacional,0,0,Sport Recife
2018-06-02 19:00:00,9,Vasco da Gama,1,2,Botafogo (RJ)
2018-06-02 21:00:00,9,Palmeiras,3,1,São Paulo
2018-06-03 16:00:00,9,América (MG),3,1,Atl Paranaense
2018-06-03 16:00:00,9,Bahia,0,2,Grêmio
2018-06-03 16:00:00,9,Santos,5,2,Vitória
2018-06-03 16:00:00,9,Flamengo,1,0,Corinthians
2018-06-03 19:00:00,9,Ceará,0,1,Cruzeiro
2018-06-04 20:00:00,9,Paraná,2,1,Fluminense
2018-06-05 21:30:00,10,São Paulo,0,0,Internacional
2018-06-06 19:30:00,10,Botafogo (RJ),0,0,Ceará
2018-06-06 19:30:00,10,Vitória,1,0,Chapecoense
2018-06-06 21:00:00,10,Corinthians,1,1,Santos
2018-06-06 21:00:00,10,Sport Recife,1,0,Atl Paranaense
2018-06-06 21:45:00,10,Cruzeiro,1,1,Vasco da Gama
2018-06-06 21:45:00,10,Grêmio,0,2,Palmeiras
2018-06-07 20:00:00,10,Paraná,1,0,Bahia
2018-06-07 20:00:00,10,Fluminense,0,2,Flamengo
2018-06-07 21:00:00,10,América (MG),1,3,Atlético Mineiro
2018-06-09 16:00:00,11,Atl Paranaense,0,1,São Paulo
2018-06-09 19:00:00,11,Vasco da Gama,3,2,Sport Recife
2018-06-09 19:00:00,11,Chapecoense,2,0,Cruzeiro
2018-06-09 21:00:00,11,Corinthians,0,0,Vitória
2018-06-10 16:00:00,11,Grêmio,1,0,América (MG)
2018-06-10 16:00:00,11,Atlético Mineiro,5,2,Fluminense
2018-06-10 16:00:00,11,Bahia,3,3,Botafogo (RJ)
2018-06-10 16:00:00,11,Ceará,2,2,Palmeiras
2018-06-10 19:00:00,11,Santos,1,2,Internacional
2018-06-10 19:00:00,11,Flamengo,2,0,Paraná
2018-06-12 21:30:00,12,São Paulo,3,0,Vitória
2018-06-13 16:00:00,12,América (MG),0,0,Chapecoense
2018-06-13 19:00:00,12,Fluminense,0,1,Santos
2018-06-13 19:30:00,12,Sport Recife,0,0,Grêmio
2018-06-13 19:30:00,12,Paraná,1,1,Cruzeiro
2018-06-13 21:00:00,12,Botafogo (RJ),2,0,Atl Paranaense
2018-06-13 21:00:00,12,Palmeiras,1,1,Flamengo
2018-06-13 21:45:00,12,Atlético Mineiro,2,1,Ceará
2018-06-13 21:45:00,12,Bahia,1,0,Corinthians
2018-06-13 21:45:00,12,Internacional,3,1,Vasco da Gama
2018-07-18 19:30:00,13,Ceará,1,0,Sport Recife
2018-07-18 21:00:00,13,Vitória,1,0,Paraná
2018-07-18 21:45:00,13,Grêmio,2,0,Atlético Mineiro
2018-07-18 21:45:00,13,Corinthians,2,0,Botafogo (RJ)
2018-07-18 21:45:00,13,Flamengo,0,1,São Paulo
2018-07-19 19:30:00,13,Chapecoense,1,1,Bahia
2018-07-19 19:30:00,13,Cruzeiro,3,1,América (MG)
2018-07-19 20:00:00,13,Vasco da Gama,1,1,Fluminense
2018-07-19 20:00:00,13,Santos,1,1,Palmeiras
2018-07-19 21:00:00,13,Atl Paranaense,2,2,Internacional
2018-07-21 19:00:00,14,Flamengo,2,0,Botafogo (RJ)
2018-07-21 21:00:00,14,São Paulo,3,1,Corinthians
2018-07-22 16:00:00,14,Bahia,4,1,Vitória
2018-07-22 16:00:00,14,Palmeiras,3,2,Atlético Mineiro
2018-07-22 16:00:00,14,Vasco da Gama,1,0,Grêmio
2018-07-22 16:00:00,14,Paraná,1,0,América (MG)
2018-07-22 16:00:00,14,Sport Recife,1,2,Fluminense
2018-07-22 19:00:00,14,Chapecoense,0,0,Santos
2018-07-22 19:00:00,14,Cruzeiro,2,1,Atl Paranaense
2018-07-23 20:00:00,14,Internacional,1,0,Ceará
2018-07-25 19:30:00,15,Fluminense,1,0,Palmeiras
2018-07-25 21:00:00,15,Atlético Mineiro,2,0,Paraná
2018-07-25 21:45:00,15,Santos,1,1,Flamengo
2018-07-25 21:45:00,15,Corinthians,2,0,Cruzeiro
2018-07-26 19:30:00,15,Vitória,1,0,Sport Recife
2018-07-26 19:30:00,15,Grêmio,2,1,São Paulo
2018-07-26 19:30:00,15,Botafogo (RJ),1,0,Chapecoense
2018-07-26 20:00:00,15,América (MG),2,1,Internacional
2018-07-28 16:00:00,16,Ceará,1,0,Fluminense
2018-07-29 11:00:00,16,Vasco da Gama,1,4,Corinthians
2018-07-29 11:00:00,16,Palmeiras,3,0,Paraná
2018-07-29 16:00:00,16,Flamengo,4,1,Sport Recife
2018-07-29 16:00:00,16,Atl Paranaense,4,0,Vitória
2018-07-29 16:00:00,16,Internacional,3,0,Botafogo (RJ)
2018-07-29 16:00:00,16,Cruzeiro,0,2,São Paulo
2018-07-29 19:00:00,16,Santos,0,1,América (MG)
2018-07-29 19:00:00,16,Chapecoense,1,1,Grêmio
2018-07-30 20:00:00,16,Bahia,2,2,Atlético Mineiro
2018-08-04 16:00:00,17,Botafogo (RJ),0,0,Santos
2018-08-04 19:00:00,17,Grêmio,2,0,Flamengo
2018-08-04 21:00:00,17,Corinthians,0,0,Atl Paranaense
2018-08-05 16:00:00,17,Vitória,1,1,Cruzeiro
2018-08-05 16:00:00,17,Paraná,0,1,Ceará
2018-08-05 16:00:00,17,São Paulo,2,1,Vasco da Gama
2018-08-05 16:00:00,17,América (MG),0,0,Palmeiras
2018-08-05 19:00:00,17,Fluminense,1,1,Bahia
2018-08-05 19:00:00,17,Sport Recife,1,1,Chapecoense
2018-08-06 20:00:00,17,Atlético Mineiro,0,1,Internacional
2018-08-08 19:30:00,20,Ceará,1,1,Santos
2018-08-11 16:00:00,18,Ceará,0,0,Atl Paranaense
2018-08-11 19:00:00,18,Bahia,1,0,América (MG)
2018-08-12 11:00:00,18,Atlético Mineiro,3,1,Santos
2018-08-12 11:00:00,18,Paraná,1,1,Botafogo (RJ)
2018-08-12 16:00:00,18,Flamengo,1,0,Cruzeiro
2018-08-12 16:00:00,18,Chapecoense,2,1,Corinthians
2018-08-12 16:00:00,18,Sport Recife,1,3,São Paulo
2018-08-12 19:00:00,18,Palmeiras,1,0,Vasco da Gama
2018-08-12 19:00:00,18,Grêmio,4,0,Vitória
2018-08-13 20:00:00,18,Fluminense,0,3,Internacional
2018-08-18 16:00:00,19,Santos,3,0,Sport Recife
2018-08-18 19:00:00,19,Corinthians,0,1,Grêmio
2018-08-19 11:00:00,19,Atl Paranaense,3,0,Flamengo
2018-08-19 11:00:00,19,Internacional,1,0,Paraná
2018-08-19 16:00:00,19,Cruzeiro,1,1,Bahia
2018-08-19 16:00:00,19,Botafogo (RJ),0,3,Atlético Mineiro
2018-08-19 16:00:00,19,Vitória,0,3,Palmeiras
2018-08-19 19:00:00,19,São Paulo,2,0,Chapecoense
2018-08-19 19:00:00,19,América (MG),0,0,Fluminense
2018-08-20 20:00:00,19,Vasco da Gama,1,1,Ceará
2018-08-22 19:30:00,20,Paraná,1,1,São Paulo
2018-08-22 19:30:00,20,Bahia,0,1,Internacional
2018-08-22 21:00:00,20,Palmeiras,2,0,Botafogo (RJ)
2018-08-22 21:00:00,20,Sport Recife,0,2,América (MG)
2018-08-22 21:45:00,20,Fluminense,1,0,Corinthians
2018-08-22 21:45:00,20,Grêmio,1,1,Cruzeiro
2018-08-23 19:30:00,20,Flamengo,1,0,Vitória
2018-08-23 20:00:00,20,Atlético Mineiro,0,0,Vasco da Gama
2018-08-25 16:00:00,21,Santos,2,0,Bahia
2018-08-25 19:00:00,21,Corinthians,1,0,Paraná
2018-08-25 19:00:00,21,Atl Paranaense,2,1,Grêmio
2018-08-25 21:00:00,21,Botafogo (RJ),2,0,Sport Recife
2018-08-25 21:00:00,21,Cruzeiro,2,1,Fluminense
2018-08-26 11:00:00,21,São Paulo,1,0,Ceará
2018-08-26 16:00:00,21,Internacional,0,0,Palmeiras
2018-08-26 16:00:00,21,Vitória,1,0,Atlético Mineiro
2018-08-26 16:00:00,21,América (MG),2,2,Flamengo
2018-08-26 19:00:00,21,Vasco da Gama,3,1,Chapecoense
2018-08-29 19:30:00,15,Ceará,0,2,Bahia
2018-08-29 19:30:00,15,Atl Paranaense,1,0,Vasco da Gama
2018-09-01 16:00:00,22,Vitória,1,0,América (MG)
2018-09-01 16:00:00,22,Grêmio,4,0,Botafogo (RJ)
2018-09-01 19:00:00,22,Vasco da Gama,0,3,Santos
2018-09-01 21:00:00,22,Corinthians,1,1,Atlético Mineiro
2018-09-02 11:00:00,22,Flamengo,0,1,Ceará
2018-09-02 16:00:00,22,Sport Recife,1,0,Paraná
2018-09-02 16:00:00,22,São Paulo,1,1,Fluminense
2018-09-02 16:00:00,22,Atl Paranaense,2,0,Bahia
2018-09-02 19:00:00,22,Chapecoense,1,2,Palmeiras
2018-09-02 19:00:00,22,Cruzeiro,0,0,Internacional
2018-09-05 19:30:00,23,Bahia,2,0,Sport Recife
2018-09-05 19:30:00,23,Botafogo (RJ),1,1,Cruzeiro
2018-09-05 20:00:00,23,Ceará,2,1,Corinthians
2018-09-05 21:00:00,23,Paraná,1,1,Chapecoense
2018-09-05 21:00:00,23,Palmeiras,2,0,Atl Paranaense
2018-09-05 21:45:00,23,Atlético Mineiro,1,0,São Paulo
2018-09-05 21:45:00,23,Internacional,2,1,Flamengo
2018-09-06 19:00:00,23,Santos,0,0,Grêmio
2018-09-06 19:00:00,23,Fluminense,0,0,Vitória
2018-09-06 20:00:00,23,América (MG),2,1,Vasco da Gama
2018-09-08 16:00:00,24,Sport Recife,0,0,Cruzeiro
2018-09-08 19:00:00,24,São Paulo,1,0,Bahia
2018-09-08 21:00:00,24,Flamengo,2,0,Chapecoense
2018-09-09 16:00:00,24,América (MG),0,0,Ceará
2018-09-09 16:00:00,24,Internacional,1,0,Grêmio
2018-09-09 16:00:00,24,Palmeiras,1,0,Corinthians
2018-09-09 16:00:00,24,Fluminense,1,0,Botafogo (RJ)
2018-09-09 19:00:00,24,Paraná,0,2,Santos
2018-09-09 19:00:00,24,Vitória,1,0,Vasco da Gama
2018-09-10 20:00:00,24,Atlético Mineiro,3,1,Atl Paranaense
2018-09-13 20:00:00,20,Chapecoense,2,1,Atl Paranaense
2018-09-15 16:00:00,25,Ceará,2,0,Vitória
2018-09-15 16:00:00,25,Grêmio,2,0,Paraná
2018-09-15 19:00:00,25,Vasco da Gama,1,1,Flamengo
2018-09-16 11:00:00,25,Botafogo (RJ),1,0,América (MG)
2018-09-16 16:00:00,25,Bahia,1,1,Palmeiras
2018-09-16 16:00:00,25,Cruzeiro,0,0,Atlético Mineiro
2018-09-16 16:00:00,25,Atl Paranaense,3,1,Fluminense
2018-09-16 16:00:00,25,Santos,0,0,São Paulo
2018-09-16 19:00:00,25,Corinthians,2,1,Sport Recife
2018-09-17 20:00:00,25,Chapecoense,2,1,Internacional
2018-09-22 16:00:00,26,São Paulo,1,1,América (MG)
2018-09-23 11:00:00,26,Grêmio,3,2,Ceará
2018-09-23 16:00:00,26,Atl Paranaense,3,0,Paraná
2018-09-23 16:00:00,26,Corinthians,1,1,Internacional
2018-09-23 16:00:00,26,Flamengo,2,1,Atlético Mineiro
2018-09-23 18:00:00,26,Sport Recife,0,1,Palmeiras
2018-09-23 18:00:00,26,Vitória,3,4,Botafogo (RJ)
2018-09-23 19:00:00,26,Cruzeiro,2,1,Santos
2018-09-24 20:00:00,26,Chapecoense,1,2,Fluminense
2018-09-24 20:00:00,26,Vasco da Gama,2,1,Bahia
2018-09-27 20:00:00,3,Santos,1,1,Vasco da Gama
2018-09-29 16:00:00,27,Fluminense,0,1,Grêmio
2018-09-29 19:00:00,27,América (MG),0,0,Corinthians
2018-09-29 21:00:00,27,Bahia,0,0,Flamengo
2018-09-30 11:00:00,27,Palmeiras,3,1,Cruzeiro
2018-09-30 16:00:00,27,Botafogo (RJ),2,2,São Paulo
2018-09-30 16:00:00,27,Internacional,2,1,Vitória
2018-09-30 16:00:00,27,Santos,1,0,Atl Paranaense
2018-09-30 16:00:00,27,Atlético Mineiro,5,2,Sport Recife
2018-09-30 19:00:00,27,Ceará,3,1,Chapecoense
2018-10-01 20:00:00,27,Paraná,1,1,Vasco da Gama
2018-10-05 19:00:00,28,Sport Recife,2,1,Internacional
2018-10-05 21:00:00,28,Corinthians,0,3,Flamengo
2018-10-05 21:30:00,28,Vitória,0,1,Santos
2018-10-06 16:00:00,28,Atl Paranaense,4,0,América (MG)
2018-10-06 16:00:00,28,Chapecoense,1,0,Atlético Mineiro
2018-10-06 18:00:00,28,São Paulo,0,2,Palmeiras
2018-10-06 21:00:00,28,Grêmio,2,2,Bahia
2018-10-08 20:00:00,28,Fluminense,4,0,Paraná
2018-10-09 21:00:00,28,Botafogo (RJ),1,1,Vasco da Gama
2018-10-13 17:00:00,29,Flamengo,3,0,Fluminense
2018-10-13 19:00:00,29,Santos,1,0,Corinthians
2018-10-13 21:00:00,29,Bahia,2,0,Paraná
2018-10-14 11:00:00,29,Chapecoense,0,1,Vitória
2018-10-14 16:00:00,29,Internacional,3,1,São Paulo
2018-10-14 16:00:00,29,Palmeiras,2,0,Grêmio
2018-10-14 16:00:00,29,Vasco da Gama,2,0,Cruzeiro
2018-10-14 19:00:00,29,Atlético Mineiro,0,0,América (MG)
2018-10-14 19:00:00,29,Atl Paranaense,4,0,Sport Recife
2018-10-15 20:00:00,29,Ceará,0,0,Botafogo (RJ)
2018-10-20 16:00:00,30,América (MG),1,1,Grêmio
2018-10-20 16:00:00,30,Botafogo (RJ),0,1,Bahia
2018-10-20 19:00:00,30,São Paulo,0,0,Atl Paranaense
2018-10-20 19:00:00,30,Sport Recife,2,1,Vasco da Gama
2018-10-21 16:00:00,30,Vitória,2,2,Corinthians
2018-10-21 17:00:00,30,Fluminense,1,0,Atlético Mineiro
2018-10-21 17:00:00,30,Palmeiras,2,1,Ceará
2018-10-21 20:00:00,30,Cruzeiro,3,0,Chapecoense
2018-10-21 20:00:00,30,Paraná,0,4,Flamengo
2018-10-22 21:00:00,30,Internacional,2,2,Santos
2018-10-24 20:30:00,28,Cruzeiro,0,2,Ceará
2018-10-26 19:30:00,31,Vitória,0,1,São Paulo
2018-10-26 22:30:00,31,Vasco da Gama,1,1,Internacional
2018-10-27 17:30:00,31,Santos,3,0,Fluminense
2018-10-27 17:30:00,31,Grêmio,3,4,Sport Recife
2018-10-27 20:00:00,31,Flamengo,1,1,Palmeiras
2018-10-27 20:00:00,31,Corinthians,2,1,Bahia
2018-10-27 20:00:00,31,Chapecoense,1,0,América (MG)
2018-10-27 23:00:00,31,Atl Paranaense,2,1,Botafogo (RJ)
2018-10-27 23:00:00,31,Cruzeiro,3,1,Paraná
2018-10-29 20:00:00,31,Ceará,2,1,Atlético Mineiro
2018-11-03 18:00:00,32,Fluminense,0,1,Vasco da Gama
2018-11-03 18:00:00,32,Atlético Mineiro,0,1,Grêmio
2018-11-03 20:00:00,32,Palmeiras,3,2,Santos
2018-11-04 17:00:00,32,Paraná,1,1,Vitória
2018-11-04 17:00:00,32,América (MG),1,2,Cruzeiro
2018-11-04 17:00:00,32,Botafogo (RJ),1,0,Corinthians
2018-11-04 17:00:00,32,São Paulo,2,2,Flamengo
2018-11-04 18:00:00,32,Bahia,1,0,Chapecoense
2018-11-04 19:00:00,32,Internacional,2,1,Atl Paranaense
