match,player,X,Y
Goiás x São Paulo,R. Arboleda,38,54
Goiás x São Paulo,R. Arboleda,40,25
Goiás x São Paulo,R. Arboleda,36,21
Goiás x São Paulo,R. Arboleda,30,14
Goiás x São Paulo,R. Arboleda,19,42
Goiás x São Paulo,R. Arboleda,13,62
Goiás x São Paulo,R. Arboleda,38,15
Goiás x São Paulo,R. Arboleda,24,17
Goiás x São Paulo,R. Arboleda,3,31
Goiás x São Paulo,R. Arboleda,22,4
Goiás x São Paulo,R. Arboleda,29,19
Goiás x São Paulo,R. Arboleda,18,14
Goiás x São Paulo,R. Arboleda,27,15
Goiás x São Paulo,R. Arboleda,36,53
Goiás x São Paulo,R. Arboleda,38,25
Goiás x São Paulo,R. Arboleda,9,50
Goiás x São Paulo,R. Arboleda,9,50
Goiás x São Paulo,R. Arboleda,27,13
Goiás x São Paulo,R. Arboleda,28,12
Goiás x São Paulo,R. Arboleda,87,37
Goiás x São Paulo,R. Arboleda,87,36
Goiás x São Paulo,R. Arboleda,95,4
Goiás x São Paulo,R. Arboleda,35,23
Goiás x São Paulo,R. Arboleda,71,41
Goiás x São Paulo,R. Arboleda,21,25
Goiás x São Paulo,R. Arboleda,46,7
Goiás x São Paulo,R. Arboleda,19,44
Goiás x São Paulo,R. Arboleda,19,42
Goiás x São Paulo,R. Arboleda,12,9
Goiás x São Paulo,R. Arboleda,23,23
Goiás x São Paulo,R. Arboleda,29,15
Goiás x São Paulo,R. Arboleda,57,12
Goiás x São Paulo,R. Arboleda,57,7
Goiás x São Paulo,R. Arboleda,15,47
Goiás x São Paulo,B. Alves,33,84
Goiás x São Paulo,B. Alves,31,83
Goiás x São Paulo,B. Alves,23,75
Goiás x São Paulo,B. Alves,24,68
Goiás x São Paulo,B. Alves,52,46
Goiás x São Paulo,B. Alves,46,51
Goiás x São Paulo,B. Alves,62,67
Goiás x São Paulo,B. Alves,58,92
Goiás x São Paulo,B. Alves,53,71
Goiás x São Paulo,B. Alves,56,50
Goiás x São Paulo,B. Alves,62,92
Goiás x São Paulo,B. Alves,65,92
Goiás x São Paulo,B. Alves,65,92
Goiás x São Paulo,B. Alves,42,79
Goiás x São Paulo,B. Alves,11,44
Goiás x São Paulo,B. Alves,57,90
Goiás x São Paulo,B. Alves,58,90
Goiás x São Paulo,B. Alves,45,88
Goiás x São Paulo,B. Alves,43,82
Goiás x São Paulo,B. Alves,40,89
Goiás x São Paulo,B. Alves,48,82
Goiás x São Paulo,B. Alves,32,90
Goiás x São Paulo,B. Alves,22,92
Goiás x São Paulo,B. Alves,18,47
Goiás x São Paulo,B. Alves,62,83
Goiás x São Paulo,B. Alves,59,92
Goiás x São Paulo,B. Alves,58,85
Goiás x São Paulo,B. Alves,58,85
Goiás x São Paulo,B. Alves,43,48
Goiás x São Paulo,B. Alves,35,87
Goiás x São Paulo,B. Alves,36,88
Goiás x São Paulo,B. Alves,36,62
Goiás x São Paulo,B. Alves,95,26
Goiás x São Paulo,B. Alves,98,37
Goiás x São Paulo,B. Alves,53,77
Goiás x São Paulo,B. Alves,58,87
Goiás x São Paulo,B. Alves,56,89
Goiás x São Paulo,B. Alves,61,80
Goiás x São Paulo,B. Alves,44,49
Goiás x São Paulo,B. Alves,34,65
Goiás x São Paulo,B. Alves,43,71
Goiás x São Paulo,B. Alves,40,87
Goiás x São Paulo,B. Alves,27,95
Goiás x São Paulo,B. Alves,88,57
Goiás x São Paulo,B. Alves,10,56
Goiás x São Paulo,B. Alves,74,90
Goiás x São Paulo,B. Alves,75,95
Goiás x São Paulo,B. Alves,33,52
Goiás x São Paulo,B. Alves,58,71
Goiás x São Paulo,B. Alves,26,74
Goiás x São Paulo,B. Alves,27,80
Goiás x São Paulo,B. Alves,36,84
Goiás x São Paulo,B. Alves,35,81
Goiás x São Paulo,B. Alves,35,85
Goiás x São Paulo,B. Alves,11,68
Goiás x São Paulo,B. Alves,16,47
Goiás x São Paulo,B. Alves,36,57
Goiás x São Paulo,B. Alves,18,52
Goiás x São Paulo,B. Alves,22,83
Goiás x São Paulo,B. Alves,7,45
Goiás x São Paulo,B. Alves,27,70
Goiás x São Paulo,B. Alves,38,81
Goiás x São Paulo,B. Alves,44,87
Goiás x São Paulo,B. Alves,18,52
Goiás x São Paulo,B. Alves,0,57
Goiás x São Paulo,B. Alves,29,89
Goiás x São Paulo,B. Alves,40,72
Goiás x São Paulo,B. Alves,30,75
Goiás x São Paulo,B. Alves,8,49
Goiás x São Paulo,B. Alves,8,49
Goiás x São Paulo,B. Alves,29,61
Goiás x São Paulo,B. Alves,28,63
Goiás x São Paulo,B. Alves,37,65
Goiás x São Paulo,B. Alves,12,63
Goiás x São Paulo,B. Alves,10,68
Goiás x São Paulo,B. Alves,32,50
Goiás x São Paulo,B. Alves,28,50
Goiás x São Paulo,B. Alves,13,35
Goiás x São Paulo,B. Alves,7,45
Goiás x São Paulo,Reinaldo,67,91
Goiás x São Paulo,Reinaldo,67,100
Goiás x São Paulo,Reinaldo,65,91
Goiás x São Paulo,Reinaldo,67,92
Goiás x São Paulo,Reinaldo,56,89
Goiás x São Paulo,Reinaldo,65,78
Goiás x São Paulo,Reinaldo,68,88
Goiás x São Paulo,Reinaldo,73,79
Goiás x São Paulo,Reinaldo,47,100
Goiás x São Paulo,Reinaldo,57,96
Goiás x São Paulo,Reinaldo,62,93
Goiás x São Paulo,Reinaldo,67,79
Goiás x São Paulo,Reinaldo,59,88
Goiás x São Paulo,Reinaldo,32,89
Goiás x São Paulo,Reinaldo,26,100
Goiás x São Paulo,Reinaldo,55,88
Goiás x São Paulo,Reinaldo,69,97
Goiás x São Paulo,Reinaldo,82,94
Goiás x São Paulo,Reinaldo,63,95
Goiás x São Paulo,Reinaldo,99,99
Goiás x São Paulo,Reinaldo,97,61
Goiás x São Paulo,Reinaldo,99,99
Goiás x São Paulo,Reinaldo,92,89
Goiás x São Paulo,Reinaldo,71,86
Goiás x São Paulo,Reinaldo,72,76
Goiás x São Paulo,Reinaldo,72,77
Goiás x São Paulo,Reinaldo,27,100
Goiás x São Paulo,Reinaldo,45,91
Goiás x São Paulo,Reinaldo,63,97
Goiás x São Paulo,Reinaldo,65,77
Goiás x São Paulo,Reinaldo,95,14
Goiás x São Paulo,Reinaldo,97,33
Goiás x São Paulo,Reinaldo,83,88
Goiás x São Paulo,Reinaldo,71,88
Goiás x São Paulo,Reinaldo,99,99
Goiás x São Paulo,Reinaldo,81,95
Goiás x São Paulo,Reinaldo,74,95
Goiás x São Paulo,Reinaldo,75,100
Goiás x São Paulo,Reinaldo,56,78
Goiás x São Paulo,Reinaldo,17,100
Goiás x São Paulo,Reinaldo,62,100
Goiás x São Paulo,Reinaldo,65,96
Goiás x São Paulo,Reinaldo,40,100
Goiás x São Paulo,Reinaldo,77,100
Goiás x São Paulo,Reinaldo,79,96
Goiás x São Paulo,Reinaldo,82,100
Goiás x São Paulo,Reinaldo,34,95
Goiás x São Paulo,Reinaldo,27,94
Goiás x São Paulo,Reinaldo,36,38
Goiás x São Paulo,Reinaldo,26,97
Goiás x São Paulo,Reinaldo,38,94
Goiás x São Paulo,Reinaldo,89,85
Goiás x São Paulo,Reinaldo,89,85
Goiás x São Paulo,Reinaldo,92,4
Goiás x São Paulo,Reinaldo,80,10
Goiás x São Paulo,Reinaldo,84,100
Goiás x São Paulo,Reinaldo,30,100
Goiás x São Paulo,Reinaldo,82,88
Goiás x São Paulo,Reinaldo,81,88
Goiás x São Paulo,Reinaldo,81,83
Goiás x São Paulo,Reinaldo,24,77
Goiás x São Paulo,Reinaldo,73,78
Goiás x São Paulo,Reinaldo,21,68
Goiás x São Paulo,Reinaldo,15,67
Goiás x São Paulo,Reinaldo,18,71
Goiás x São Paulo,Reinaldo,39,85
Goiás x São Paulo,Reinaldo,32,59
Goiás x São Paulo,Reinaldo,18,56
Goiás x São Paulo,Reinaldo,13,60
Goiás x São Paulo,Reinaldo,56,77
Goiás x São Paulo,Reinaldo,71,96
Goiás x São Paulo,Reinaldo,42,75
Goiás x São Paulo,Reinaldo,27,88
Goiás x São Paulo,Reinaldo,28,85
Goiás x São Paulo,Reinaldo,36,72
Goiás x São Paulo,Reinaldo,38,72
Goiás x São Paulo,Reinaldo,43,96
Goiás x São Paulo,Reinaldo,28,95
Goiás x São Paulo,Reinaldo,30,96
Goiás x São Paulo,Reinaldo,26,100
Goiás x São Paulo,Reinaldo,16,77
Goiás x São Paulo,Reinaldo,21,96
Goiás x São Paulo,D. Alves,35,30
Goiás x São Paulo,D. Alves,38,24
Goiás x São Paulo,D. Alves,58,20
Goiás x São Paulo,D. Alves,60,15
Goiás x São Paulo,D. Alves,57,16
Goiás x São Paulo,D. Alves,62,43
Goiás x São Paulo,D. Alves,66,84
Goiás x São Paulo,D. Alves,62,89
Goiás x São Paulo,D. Alves,62,89
Goiás x São Paulo,D. Alves,61,87
Goiás x São Paulo,D. Alves,58,74
Goiás x São Paulo,D. Alves,62,75
Goiás x São Paulo,D. Alves,64,75
Goiás x São Paulo,D. Alves,75,67
Goiás x São Paulo,D. Alves,53,45
Goiás x São Paulo,D. Alves,52,26
Goiás x São Paulo,D. Alves,51,27
Goiás x São Paulo,D. Alves,48,25
Goiás x São Paulo,D. Alves,62,6
Goiás x São Paulo,D. Alves,61,3
Goiás x São Paulo,D. Alves,62,6
Goiás x São Paulo,D. Alves,59,24
Goiás x São Paulo,D. Alves,54,15
Goiás x São Paulo,D. Alves,99,0
Goiás x São Paulo,D. Alves,99,0
Goiás x São Paulo,D. Alves,90,9
Goiás x São Paulo,D. Alves,18,53
Goiás x São Paulo,D. Alves,56,26
Goiás x São Paulo,D. Alves,66,37
Goiás x São Paulo,D. Alves,99,0
Goiás x São Paulo,D. Alves,62,23
Goiás x São Paulo,D. Alves,68,25
Goiás x São Paulo,D. Alves,62,22
Goiás x São Paulo,D. Alves,70,22
Goiás x São Paulo,D. Alves,91,13
Goiás x São Paulo,D. Alves,94,14
Goiás x São Paulo,D. Alves,99,0
Goiás x São Paulo,D. Alves,43,54
Goiás x São Paulo,D. Alves,47,59
Goiás x São Paulo,D. Alves,30,49
Goiás x São Paulo,D. Alves,22,27
Goiás x São Paulo,D. Alves,29,9
Goiás x São Paulo,D. Alves,30,35
Goiás x São Paulo,D. Alves,8,49
Goiás x São Paulo,D. Alves,5,28
Goiás x São Paulo,D. Alves,65,53
Goiás x São Paulo,D. Alves,78,68
Goiás x São Paulo,D. Alves,42,29
Goiás x São Paulo,D. Alves,42,32
Goiás x São Paulo,D. Alves,29,32
Goiás x São Paulo,D. Alves,8,49
Goiás x São Paulo,D. Alves,76,11
Goiás x São Paulo,D. Alves,28,9
Goiás x São Paulo,D. Alves,40,86
Goiás x São Paulo,D. Alves,41,84
Goiás x São Paulo,D. Alves,38,70
Goiás x São Paulo,D. Alves,32,50
Goiás x São Paulo,D. Alves,34,50
Goiás x São Paulo,D. Alves,29,29
Goiás x São Paulo,D. Alves,25,31
Goiás x São Paulo,D. Alves,7,49
Goiás x São Paulo,D. Alves,14,38
Goiás x São Paulo,D. Alves,25,8
Goiás x São Paulo,D. Alves,20,4
Goiás x São Paulo,D. Alves,6,43
Goiás x São Paulo,D. Alves,24,60
Goiás x São Paulo,D. Alves,52,58
Goiás x São Paulo,D. Alves,17,37
Goiás x São Paulo,D. Alves,39,31
Goiás x São Paulo,D. Alves,99,99
Goiás x São Paulo,D. Alves,77,15
Goiás x São Paulo,D. Alves,84,69
Goiás x São Paulo,D. Alves,30,14
Goiás x São Paulo,D. Alves,28,10
Goiás x São Paulo,D. Alves,29,9
Goiás x São Paulo,D. Alves,49,14
Goiás x São Paulo,D. Alves,74,26
Goiás x São Paulo,D. Alves,73,37
Goiás x São Paulo,D. Alves,32,21
Goiás x São Paulo,D. Alves,62,38
Goiás x São Paulo,D. Alves,57,17
Goiás x São Paulo,D. Alves,56,17
Goiás x São Paulo,D. Alves,78,26
Goiás x São Paulo,D. Alves,34,66
Goiás x São Paulo,D. Alves,34,67
Goiás x São Paulo,D. Alves,28,57
Goiás x São Paulo,D. Alves,58,69
Goiás x São Paulo,D. Alves,76,73
Goiás x São Paulo,D. Alves,37,30
Goiás x São Paulo,D. Alves,47,34
Goiás x São Paulo,D. Alves,49,32
Goiás x São Paulo,D. Alves,44,39
Goiás x São Paulo,D. Alves,45,33
Goiás x São Paulo,D. Alves,34,29
Goiás x São Paulo,D. Alves,58,93
Goiás x São Paulo,D. Alves,57,92
Goiás x São Paulo,D. Alves,23,56
Goiás x São Paulo,D. Alves,41,67
Goiás x São Paulo,D. Alves,99,99
Goiás x São Paulo,D. Alves,33,39
Goiás x São Paulo,D. Alves,69,33
Goiás x São Paulo,D. Alves,77,14
Goiás x São Paulo,D. Alves,72,5
Goiás x São Paulo,D. Alves,35,37
Goiás x São Paulo,D. Alves,20,10
Goiás x São Paulo,D. Alves,22,14
Goiás x São Paulo,D. Alves,21,28
Goiás x São Paulo,Luan,33,57
Goiás x São Paulo,Luan,31,50
Goiás x São Paulo,Luan,30,48
Goiás x São Paulo,Luan,38,45
Goiás x São Paulo,Luan,40,23
Goiás x São Paulo,Luan,58,23
Goiás x São Paulo,Luan,40,24
Goiás x São Paulo,Luan,69,54
Goiás x São Paulo,Luan,57,71
Goiás x São Paulo,Luan,57,71
Goiás x São Paulo,Luan,66,33
Goiás x São Paulo,Luan,48,69
