X,Y
50,49
50,49
50,77
50,50
50,50
50,50
50,50
50,50
50,74
24,47
24,4
24,60
24,46
35,27
35,69
35,10
35,83
35,72
35,74
35,22
35,78
35,91
35,55
20,89
20,89
20,53
20,28
47,42
47,45
47,65
47,44
47,57
47,70
47,36
47,17
47,90
47,46
39,17
39,63
39,72
39,72
39,88
39,70
39,20
39,46
39,24
39,79
31,20
31,84
31,58
31,38
31,59
31,75
31,72
42,23
42,84
42,81
42,70
42,85
42,39
42,19
42,7
42,24
42,13
42,17
42,15
42,65
26,38
26,67
26,43
26,50
26,34
26,15
26,47
83,63
83,85
83,39
83,12
83,46
83,35
83,5
28,31
28,16
28,13
28,53
28,35
28,37
51,49
51,49
51,17
51,14
51,20
51,21
51,70
51,45
93,56
93,18
93,10
93,9
23,60
23,54
23,32
23,35
23,50
82,36
82,64
82,64
13,35
13,59
13,88
13,85
13,85
19,34
19,36
12,48
88,50
88,50
88,6
88,72
9,67
9,67
21,28
21,28
29,45
29,34
29,51
29,31
29,48
29,93
29,87
100,26
100,62
14,72
14,9
14,10
14,51
15,73
15,92
15,66
15,66
15,63
15,63
15,45
15,45
11,3
5,33
