X,Y
84,19
84,1
84,27
84,82
84,51
51,71
51,75
51,1
51,24
51,62
51,14
51,52
51,56
71,66
71,66
71,75
71,48
71,48
71,94
71,21
71,68
71,33
71,23
71,22
71,53
71,69
71,65
71,41
71,41
71,27
71,86
71,31
71,91
71,20
33,63
33,58
33,88
33,29
33,85
33,15
33,59
33,64
33,90
33,90
33,43
33,42
33,89
33,83
33,92
99,99
99,99
99,99
99,99
99,99
99,99
99,99
99,99
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,22
45,81
45,45
45,48
45,74
45,18
45,53
45,62
45,71
45,59
76,56
76,73
76,87
76,93
76,75
76,38
76,95
76,95
76,37
76,18
76,96
76,45
78,54
78,54
78,71
78,36
78,95
78,59
78,8
78,41
78,65
78,64
78,89
78,11
78,86
78,45
78,81
78,69
78,80
52,50
52,23
52,80
52,54
52,4
52,27
52,65
52,41
52,41
52,93
52,83
52,88
52,31
52,49
52,46
52,72
52,56
52,51
52,52
52,40
74,76
74,76
74,85
74,75
74,75
74,51
74,51
74,35
74,35
74,39
74,9
74,8
74,23
74,40
74,41
74,29
74,36
74,72
74,88
69,57
69,51
69,18
69,18
69,95
69,33
69,7
69,23
69,30
69,53
69,74
69,74
69,50
69,66
69,97
69,56
69,78
69,93
69,88
69,62
69,85
69,44
86,4
86,92
86,27
86,0
86,73
86,73
86,96
86,55
86,39
8,14
8,59
8,37
8,56
30,74
30,81
30,55
30,51
30,51
30,60
30,8
21,61
21,68
21,92
21,92
75,35
75,35
75,90
75,92
75,36
75,85
75,33
75,0
75,60
75,94
75,26
75,19
75,37
75,30
75,21
91,68
91,46
91,83
91,26
91,86
91,74
91,81
25,93
25,11
25,26
25,26
25,96
25,36
25,68
25,59
22,41
22,59
22,84
82,96
82,22
82,10
90,97
90,66
90,80
90,0
90,76
89,17
89,71
89,13
89,30
89,72
89,38
94,15
94,76
94,24
94,70
94,2
94,11
96,72
96,70
96,2
7,40
9,34
97,78
97,35
97,2
81,90
81,4
81,18
81,62
81,39
81,88
81,85
81,74
81,94
81,97
81,47
24,86
24,64
24,23
92,47
92,37
100,21
100,43
100,26
100,36
100,74
100,77
14,71
14,86
95,87
95,87
98,5
98,32
98,18
4,38
4,26
3,36
3,94
3,55
20,4
20,11
20,25
20,95
20,40
20,52
12,28
0,32
19,39
11,71
