match,player,X,Y
Flamengo x Atl. Mineiro,Rafinha,40,5
Flamengo x Atl. Mineiro,Rafinha,86,0
Flamengo x Atl. Mineiro,Rafinha,90,0
Flamengo x Atl. Mineiro,Rafinha,63,12
Flamengo x Atl. Mineiro,Rafinha,13,15
Flamengo x Atl. Mineiro,Rafinha,19,10
Flamengo x Atl. Mineiro,Rafinha,50,0
Flamengo x Atl. Mineiro,Rafinha,67,8
Flamengo x Atl. Mineiro,Rafinha,27,8
Flamengo x Atl. Mineiro,Rafinha,27,6
Flamengo x Atl. Mineiro,Rafinha,64,4
Flamengo x Atl. Mineiro,Rafinha,67,4
Flamengo x Atl. Mineiro,Rafinha,65,5
Flamengo x Atl. Mineiro,Rafinha,63,44
Flamengo x Atl. Mineiro,Rafinha,38,6
Flamengo x Atl. Mineiro,Rafinha,53,38
Flamengo x Atl. Mineiro,Rafinha,41,32
Flamengo x Atl. Mineiro,Rafinha,40,23
Flamengo x Atl. Mineiro,Rafinha,26,25
Flamengo x Atl. Mineiro,Rafinha,22,23
Flamengo x Atl. Mineiro,Rafinha,28,25
Flamengo x Atl. Mineiro,Rafinha,53,9
Flamengo x Atl. Mineiro,Rafinha,55,8
Flamengo x Atl. Mineiro,Rafinha,36,15
Flamengo x Atl. Mineiro,Rafinha,84,10
Flamengo x Atl. Mineiro,Rafinha,9,8
Flamengo x Atl. Mineiro,R. Caio,28,12
Flamengo x Atl. Mineiro,R. Caio,28,12
Flamengo x Atl. Mineiro,R. Caio,11,9
Flamengo x Atl. Mineiro,R. Caio,27,41
Flamengo x Atl. Mineiro,R. Caio,21,8
Flamengo x Atl. Mineiro,R. Caio,7,2
Flamengo x Atl. Mineiro,R. Caio,0,11
Flamengo x Atl. Mineiro,R. Caio,9,15
Flamengo x Atl. Mineiro,R. Caio,8,4
Flamengo x Atl. Mineiro,R. Caio,28,25
Flamengo x Atl. Mineiro,R. Caio,41,30
Flamengo x Atl. Mineiro,R. Caio,38,29
Flamengo x Atl. Mineiro,R. Caio,39,22
Flamengo x Atl. Mineiro,R. Caio,4,43
Flamengo x Atl. Mineiro,R. Caio,12,31
Flamengo x Atl. Mineiro,R. Caio,17,30
Flamengo x Atl. Mineiro,R. Caio,25,26
Flamengo x Atl. Mineiro,R. Caio,44,23
Flamengo x Atl. Mineiro,R. Caio,22,12
Flamengo x Atl. Mineiro,R. Caio,28,33
Flamengo x Atl. Mineiro,R. Caio,13,19
Flamengo x Atl. Mineiro,R. Caio,3,4
Flamengo x Atl. Mineiro,R. Caio,44,15
Flamengo x Atl. Mineiro,R. Caio,43,26
Flamengo x Atl. Mineiro,R. Caio,26,37
Flamengo x Atl. Mineiro,R. Caio,13,35
Flamengo x Atl. Mineiro,R. Caio,27,46
Flamengo x Atl. Mineiro,R. Caio,14,11
Flamengo x Atl. Mineiro,R. Caio,11,8
Flamengo x Atl. Mineiro,R. Caio,10,7
Flamengo x Atl. Mineiro,R. Caio,45,27
Flamengo x Atl. Mineiro,R. Caio,53,56
Flamengo x Atl. Mineiro,R. Caio,26,40
Flamengo x Atl. Mineiro,R. Caio,25,39
Flamengo x Atl. Mineiro,R. Caio,57,33
Flamengo x Atl. Mineiro,R. Caio,52,32
Flamengo x Atl. Mineiro,R. Caio,32,30
Flamengo x Atl. Mineiro,R. Caio,32,30
Flamengo x Atl. Mineiro,R. Caio,41,52
Flamengo x Atl. Mineiro,R. Caio,29,47
Flamengo x Atl. Mineiro,R. Caio,28,47
Flamengo x Atl. Mineiro,R. Caio,10,34
Flamengo x Atl. Mineiro,R. Caio,21,31
Flamengo x Atl. Mineiro,R. Caio,20,31
Flamengo x Atl. Mineiro,R. Caio,49,7
Flamengo x Atl. Mineiro,R. Caio,42,11
Flamengo x Atl. Mineiro,R. Caio,39,38
Flamengo x Atl. Mineiro,R. Caio,54,36
Flamengo x Atl. Mineiro,R. Caio,35,33
Flamengo x Atl. Mineiro,R. Caio,30,15
Flamengo x Atl. Mineiro,R. Caio,19,8
Flamengo x Atl. Mineiro,R. Caio,25,22
Flamengo x Atl. Mineiro,R. Caio,12,2
Flamengo x Atl. Mineiro,R. Caio,32,61
Flamengo x Atl. Mineiro,R. Caio,37,64
Flamengo x Atl. Mineiro,R. Caio,34,62
Flamengo x Atl. Mineiro,R. Caio,14,24
Flamengo x Atl. Mineiro,R. Caio,32,49
Flamengo x Atl. Mineiro,R. Caio,36,51
Flamengo x Atl. Mineiro,R. Caio,36,51
Flamengo x Atl. Mineiro,R. Caio,45,41
Flamengo x Atl. Mineiro,R. Caio,31,38
Flamengo x Atl. Mineiro,R. Caio,44,65
Flamengo x Atl. Mineiro,R. Caio,37,53
Flamengo x Atl. Mineiro,R. Caio,33,33
Flamengo x Atl. Mineiro,R. Caio,27,25
Flamengo x Atl. Mineiro,R. Caio,29,23
Flamengo x Atl. Mineiro,R. Caio,7,37
Flamengo x Atl. Mineiro,R. Caio,28,13
Flamengo x Atl. Mineiro,R. Caio,22,8
