round,date,home_team,home_score,away_score,away_team
13,2020-10-04,Coritiba,1,1,São Paulo
13,2020-10-04,Flamengo,3,1,Athletico-PR
13,2020-10-04,Bahia,1,2,Sport Recife
13,2020-10-04,Fortaleza,0,0,Atlético GO
13,2020-10-04,Goiás,2,3,Santos
13,2020-10-04,Atl. Mineiro,4,1,Vasco
14,2020-10-07,Corinthians,1,1,Santos
14,2020-10-07,Bahia,3,0,Vasco
14,2020-10-07,Flamengo,3,0,Sport Recife
14,2020-10-07,Grêmio,2,1,Coritiba
14,2020-10-07,Goiás,2,4,Fluminense
14,2020-10-07,São Paulo,3,0,Atlético GO
14,2020-10-07,Botafogo,2,1,Palmeiras
14,2020-10-07,Fortaleza,2,1,Atl. Mineiro
14,2020-10-08,Athletico-PR,0,0,Ceará
14,2020-10-08,RB Bragantino,0,2,Internacional
15,2020-10-10,Vasco,1,2,Flamengo
15,2020-10-10,Coritiba,0,0,Fortaleza
15,2020-10-10,Palmeiras,0,2,São Paulo
15,2020-10-10,Atl. Mineiro,3,0,Goiás
15,2020-10-11,Fluminense,1,0,Bahia
15,2020-10-11,Santos,2,1,Grêmio
15,2020-10-11,Atlético GO,2,1,RB Bragantino
15,2020-10-11,Sport Recife,1,2,Botafogo
15,2020-10-11,Ceará,2,1,Corinthians
15,2020-10-11,Internacional,2,1,Athletico-PR
16,2020-10-14,Palmeiras,1,3,Coritiba
16,2020-10-14,Grêmio,3,1,Botafogo
16,2020-10-14,Santos,0,1,Atlético GO
16,2020-10-14,Atl. Mineiro,1,1,Fluminense
16,2020-10-14,Athletico-PR,0,1,Corinthians
16,2020-10-14,Sport Recife,3,5,Internacional
16,2020-10-15,Flamengo,1,1,RB Bragantino
16,2020-10-16,Goiás,1,1,Bahia
16,2020-11-19,Vasco,0,0,Fortaleza
16,2020-11-25,Ceará,1,1,São Paulo
17,2020-10-17,Atlético GO,1,1,Athletico-PR
17,2020-10-17,Coritiba,1,2,Santos
17,2020-10-17,Fluminense,2,2,Ceará
17,2020-10-17,São Paulo,0,0,Grêmio
17,2020-10-18,Corinthians,1,5,Flamengo
17,2020-10-18,Internacional,2,0,Vasco
17,2020-10-18,Fortaleza,2,0,Palmeiras
17,2020-10-18,RB Bragantino,2,0,Sport Recife
17,2020-10-19,Bahia,3,1,Atl. Mineiro
17,2020-10-19,Botafogo,0,0,Goiás
18,2020-10-21,Vasco,1,2,Corinthians
18,2020-10-24,RB Bragantino,2,0,Goiás
18,2020-10-24,Ceará,2,1,Coritiba
18,2020-10-24,Atl. Mineiro,0,0,Sport Recife
18,2020-10-25,Atlético GO,0,3,Palmeiras
18,2020-10-25,Fluminense,3,1,Santos
18,2020-10-25,Athletico-PR,1,2,Grêmio
18,2020-10-25,Internacional,2,2,Flamengo
18,2020-11-11,Bahia,2,1,Fortaleza
18,2020-12-09,São Paulo,4,0,Botafogo
19,2020-10-31,Botafogo,2,2,Ceará
19,2020-10-31,Corinthians,1,0,Internacional
19,2020-10-31,Coritiba,1,0,Atlético GO
19,2020-10-31,Fortaleza,0,1,Fluminense
19,2020-11-01,Flamengo,1,4,São Paulo
19,2020-11-01,Sport Recife,1,0,Athletico-PR
19,2020-11-01,Santos,3,1,Bahia
19,2020-11-01,Goiás,1,1,Vasco
19,2020-11-02,Palmeiras,3,0,Atl. Mineiro
19,2020-11-02,Grêmio,2,1,RB Bragantino
20,2020-11-07,Athletico-PR,2,1,Fortaleza
20,2020-11-07,São Paulo,2,1,Goiás
20,2020-11-07,Atlético GO,1,1,Corinthians
20,2020-11-08,Internacional,2,2,Coritiba
20,2020-11-08,Vasco,0,1,Palmeiras
20,2020-11-08,Atl. Mineiro,4,0,Flamengo
20,2020-11-08,Bahia,1,0,Botafogo
20,2020-11-08,RB Bragantino,1,1,Santos
20,2020-11-08,Ceará,0,0,Sport Recife
20,2020-11-08,Fluminense,0,1,Grêmio
21,2020-11-14,Santos,2,0,Internacional
21,2020-11-14,Sport Recife,0,2,Vasco
21,2020-11-14,Goiás,0,1,Athletico-PR
21,2020-11-14,Corinthians,1,2,Atl. Mineiro
21,2020-11-14,Fortaleza,2,3,São Paulo
21,2020-11-14,Grêmio,4,2,Ceará
21,2020-11-14,Flamengo,1,1,Atlético GO
21,2020-11-14,Palmeiras,2,0,Fluminense
21,2020-11-16,Coritiba,1,2,Bahia
21,2020-11-16,Botafogo,1,2,RB Bragantino
22,2020-11-20,RB Bragantino,4,0,Bahia
22,2020-11-21,Athletico-PR,1,0,Santos
22,2020-11-21,Flamengo,3,1,Coritiba
22,2020-11-21,Goiás,1,0,Palmeiras
22,2020-11-22,Ceará,2,2,Atl. Mineiro
22,2020-11-22,São Paulo,1,1,Vasco
22,2020-11-22,Botafogo,1,2,Fortaleza
22,2020-11-22,Internacional,1,2,Fluminense
22,2020-11-22,Corinthians,0,0,Grêmio
22,2020-11-23,Sport Recife,0,1,Atlético GO
23,2020-11-25,Atl. Mineiro,2,1,Botafogo
23,2020-11-25,Coritiba,0,1,Corinthians
23,2020-11-26,Fortaleza,1,1,Goiás
23,2020-11-28,Palmeiras,3,0,Athletico-PR
23,2020-11-28,Santos,4,2,Sport Recife
23,2020-11-28,Bahia,1,3,São Paulo
23,2020-11-28,Atlético GO,0,0,Internacional
23,2020-11-30,Vasco,1,4,Ceará
23,2020-11-30,Fluminense,0,0,RB Bragantino
23,2021-01-28,Grêmio,2,4,Flamengo
24,2020-12-02,Fortaleza,0,0,Corinthians
24,2020-12-05,Botafogo,0,1,Flamengo
24,2020-12-05,Santos,2,2,Palmeiras
24,2020-12-05,Bahia,0,2,Ceará
24,2020-12-05,Fluminense,3,1,Athletico-PR
24,2020-12-05,Coritiba,0,0,RB Bragantino
24,2020-12-06,Grêmio,4,0,Vasco
24,2020-12-06,São Paulo,1,0,Sport Recife
24,2020-12-06,Atl. Mineiro,2,2,Internacional
24,2020-12-07,Atlético GO,0,1,Goiás
25,2020-12-12,Athletico-PR,0,1,Atl. Mineiro
25,2020-12-12,RB Bragantino,2,1,Fortaleza
25,2020-12-12,Internacional,2,1,Botafogo
25,2020-12-12,Palmeiras,3,0,Bahia
25,2020-12-12,Ceará,1,2,Atlético GO
25,2020-12-12,Goiás,0,0,Grêmio
25,2020-12-13,Flamengo,4,1,Santos
25,2020-12-13,Corinthians,1,0,São Paulo
25,2020-12-13,Sport Recife,1,0,Coritiba
25,2020-12-13,Vasco,1,1,Fluminense
26,2020-12-16,Atlético GO,2,1,Fluminense
26,2020-12-16,São Paulo,3,0,Atl. Mineiro
26,2020-12-19,Sport Recife,1,1,Grêmio
26,2020-12-19,Coritiba,1,2,Botafogo
26,2020-12-19,Internacional,2,0,Palmeiras
26,2020-12-20,RB Bragantino,0,1,Athletico-PR
26,2020-12-20,Vasco,1,0,Santos
26,2020-12-20,Flamengo,4,3,Bahia
26,2020-12-20,Fortaleza,0,2,Ceará
26,2020-12-21,Corinthians,2,1,Goiás
27,2020-12-26,Atl. Mineiro,2,0,Coritiba
27,2020-12-26,Fortaleza,0,0,Flamengo
27,2020-12-26,Goiás,1,0,Sport Recife
27,2020-12-26,Fluminense,1,2,São Paulo
27,2020-12-27,Bahia,1,2,Internacional
27,2020-12-27,Botafogo,0,2,Corinthians
27,2020-12-27,Athletico-PR,3,0,Vasco
27,2020-12-27,Palmeiras,1,0,RB Bragantino
27,2020-12-27,Santos,1,1,Ceará
27,2020-12-27,Grêmio,2,1,Atlético GO
28,2021-01-06,Botafogo,0,2,Athletico-PR
28,2021-01-06,Grêmio,2,1,Bahia
28,2021-01-06,Coritiba,1,2,Goiás
28,2021-01-06,Sport Recife,1,0,Fortaleza
28,2021-01-06,Flamengo,1,2,Fluminense
28,2021-01-06,RB Bragantino,4,2,São Paulo
28,2021-01-07,Ceará,0,2,Internacional
28,2021-01-07,Atlético GO,0,0,Vasco
28,2021-01-18,Palmeiras,4,0,Corinthians
28,2021-01-26,Atl. Mineiro,2,0,Santos
29,2021-01-09,Coritiba,0,0,Athletico-PR
29,2021-01-09,Sport Recife,0,1,Palmeiras
29,2021-01-09,Fortaleza,0,0,Grêmio
29,2021-01-10,Flamengo,0,2,Ceará
29,2021-01-10,São Paulo,0,1,Santos
29,2021-01-10,Atlético GO,1,1,Bahia
29,2021-01-10,Internacional,1,0,Goiás
29,2021-01-10,Vasco,3,0,Botafogo
29,2021-01-11,RB Bragantino,2,2,Atl. Mineiro
29,2021-01-13,Corinthians,5,0,Fluminense
30,2021-01-15,Palmeiras,1,1,Grêmio
30,2021-01-16,Fluminense,1,0,Sport Recife
30,2021-01-16,Vasco,0,1,Coritiba
30,2021-01-17,Athletico-PR,1,1,São Paulo
30,2021-01-17,Santos,2,1,Botafogo
30,2021-01-17,Atl. Mineiro,3,1,Atlético GO
30,2021-01-17,Ceará,1,2,RB Bragantino
30,2021-01-17,Internacional,4,2,Fortaleza
30,2021-01-18,Goiás,0,3,Flamengo
30,2021-01-28,Bahia,2,1,Corinthians
31,2021-01-20,Botafogo,1,3,Atlético GO
31,2021-01-20,Bahia,1,0,Athletico-PR
31,2021-01-20,Grêmio,1,1,Atl. Mineiro
31,2021-01-20,Coritiba,3,3,Fluminense
31,2021-01-20,RB Bragantino,4,1,Vasco
31,2021-01-20,São Paulo,1,5,Internacional
31,2021-01-21,Flamengo,2,0,Palmeiras
31,2021-01-21,Fortaleza,2,0,Santos
31,2021-01-21,Goiás,0,4,Ceará
31,2021-01-21,Corinthians,3,0,Sport Recife
32,2021-01-23,São Paulo,1,1,Coritiba
32,2021-01-23,Vasco,3,2,Atl. Mineiro
32,2021-01-24,Ceará,2,1,Palmeiras
32,2021-01-24,Athletico-PR,2,1,Flamengo
32,2021-01-24,Internacional,2,1,Grêmio
32,2021-01-24,Atlético GO,2,0,Fortaleza
32,2021-01-24,Santos,3,4,Goiás
32,2021-01-24,Sport Recife,2,0,Bahia
32,2021-01-24,Fluminense,2,0,Botafogo
32,2021-01-25,Corinthians,0,2,RB Bragantino
33,2021-01-31,Atlético GO,2,1,São Paulo
33,2021-01-31,Ceará,0,2,Athletico-PR
33,2021-01-31,Coritiba,1,1,Grêmio
33,2021-01-31,Vasco,0,0,Bahia
33,2021-01-31,Atl. Mineiro,2,0,Fortaleza
33,2021-01-31,Internacional,2,1,RB Bragantino
33,2021-01-31,Fluminense,3,0,Goiás
33,2021-02-01,Sport Recife,0,3,Flamengo
33,2021-02-02,Palmeiras,1,1,Botafogo
33,2021-02-17,Santos,1,0,Corinthians
34,2021-02-03,Grêmio,3,3,Santos
34,2021-02-03,RB Bragantino,2,0,Atlético GO
34,2021-02-03,Bahia,0,1,Fluminense
34,2021-02-03,Corinthians,2,1,Ceará
34,2021-02-03,Goiás,1,0,Atl. Mineiro
